"ParticipantType" "SegID" "emmean" "SE" "df" "lower.CL" "upper.CL"
"Control" "35" 0.117492025296485 0.00724494570486343 55 0.10297282965144 0.13201122094153
"Patient" "35" 0.14261736793684 0.0154825574552983 55 0.111589629436575 0.173645106437105
"Control" "36" 0.781022460079115 0.00724494570486376 55 0.76650326443407 0.79554165572416
"Patient" "36" 0.762684358030177 0.0145574071596447 55 0.733510662153675 0.791858053906679
"Control" "37" 0.728907242687785 0.00724494570486327 55 0.714388047042741 0.74342643833283
"Patient" "37" 0.702251024696823 0.014557407159645 55 0.67307732882032 0.731424720573325
"Control" "38" 0.714431155731277 0.00724494570486326 55 0.699911960086233 0.728950351376322
"Patient" "38" 0.724118773274274 0.0187483850128947 55 0.686546170094086 0.761691376454462
"Control" "39" 0.7260876774704 0.00724494570486339 55 0.711568481825356 0.740606873115445
"Patient" "39" 0.729529618760358 0.0160790986570552 55 0.697306384976695 0.761752852544021
"Control" "47" 0.827068112253002 0.00724494570486328 55 0.812548916607958 0.841587307898047
"Patient" "47" 0.818392691363488 0.0145574071596449 55 0.789218995486985 0.84756638723999
"Control" "48" 0.837094199209548 0.00724494570486374 55 0.822575003564503 0.851613394854593
"Patient" "48" 0.840856480837826 0.0149889143400597 55 0.810818025247462 0.870894936428191
"Control" "57" 0.524507242687785 0.00724494570486352 55 0.50998804704274 0.539026438332829
"Patient" "57" 0.505626024696822 0.014557407159645 55 0.47645232882032 0.534799720573325
"Control" "58" 0.541935503557363 0.00724494570486364 55 0.527416307912318 0.556454699202408
"Patient" "58" 0.531184358030167 0.0145574071596449 55 0.502010662153665 0.56035805390667
"Control" "59" 0.284676807905215 0.00724494570486337 55 0.27015761226017 0.29919600355026
"Patient" "59" 0.285934358030197 0.0145574071596448 55 0.256760662153695 0.3151080539067
"Control" "60" 0.295685503557376 0.00724494570486326 55 0.281166307912331 0.31020469920242
"Patient" "60" 0.307251024696846 0.0145574071596451 55 0.278077328820343 0.336424720573349
"Control" "61" 0.122261590513919 0.00724494570486331 55 0.107742394868875 0.136780786158963
"Patient" "61" 0.14490102469687 0.0145574071596449 55 0.115727328820368 0.174074720573373
"Control" "62" 0.120137677470388 0.00724494570486354 55 0.105618481825343 0.134656873115433
"Patient" "62" 0.143826024696822 0.014557407159645 55 0.11465232882032 0.172999720573325
"Control" "71" 0.491415938339978 0.00724494570486333 55 0.476896742694933 0.505935133985022
"Patient" "71" 0.483424414559863 0.0149864237576836 55 0.453390950208116 0.513457878911609
"Control" "100" 0.719528981818226 0.00724494570486332 55 0.705009786173182 0.734048177463271
"Patient" "100" 0.726626024696836 0.014557407159645 55 0.697452328820333 0.755799720573339
"Control" "101" 0.739226807905195 0.00724494570486357 55 0.72470761226015 0.75374600355024
"Patient" "101" 0.747837341125702 0.0149870838184322 55 0.717802553982656 0.777872128268748
