"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"(Intercept)" 0.721923076298737 0.00905862739232562 4470 79.6945326297826 0
"ParticipantTypePatient" 0.00352439940465883 0.00998728949547538 55 0.352888479527455 0.725520927094179
"SegID1" -0.554365005302237 0.00595982315140312 4470 -93.017022689964 0
"SegID2" 0.109165429480393 0.0059598231514035 4470 18.3168907377202 2.53142927654263e-72
"SegID3" 0.0570502120890633 0.00595982315140291 4470 9.57246727625367 1.6757877618454e-21
"SegID4" 0.0425741251325551 0.0059598231514029 4470 7.14352155273827 1.05709495365888e-12
"SegID5" 0.0542306468716781 0.00595982315140306 4470 9.09937182597626 1.33907917119733e-19
"SegID6" 0.15521108165428 0.00595982315140293 4470 26.0429005544811 2.49791012787171e-139
"SegID7" 0.165237168610826 0.00595982315140349 4470 27.7251798271755 2.93989608437477e-156
"SegID8" -0.147349787910938 0.00595982315140322 4470 -24.723852397574 1.33482598517253e-126
"SegID9" -0.129921527041359 0.00595982315140336 4470 -21.7995607823978 3.28693947764232e-100
"SegID10" -0.387180222693507 0.00595982315140304 4470 -64.9650522939357 0
"SegID11" -0.376171527041346 0.0059598231514029 4470 -63.1179008982504 0
"SegID12" -0.549595440084803 0.00595982315140297 4470 -92.2167363230276 0
"SegID13" -0.551719353128334 0.00595982315140324 4470 -92.5731081464107 0
"SegID14" -0.180441092258744 0.00595982315140299 4470 -30.2762494246607 2.51481865969761e-183
"SegID15" 0.0476719512195041 0.00595982315140298 4470 7.99888688111187 1.58625510436008e-15
"SegID16" 0.0673697773064731 0.00595982315140328 4470 11.3039893290475 3.11566621163375e-29
"SegID17" 0.0920502120890735 0.00595982315140316 4470 15.4451247546501 1.80583554611877e-52
"SegID18" 0.0918132555673362 0.00595982315140305 4470 15.4053657692379 3.24055898398585e-52
"SegID19" 0.0613784729586464 0.00595982315140328 4470 10.2987070923731 1.34230831005977e-24
"SegID20" 0.0224567338282116 0.00595982315140327 4470 3.76802016733065 0.00016666728619837
"SegID21" -0.0779345705196221 0.00595982315140326 4470 -13.0766582396446 2.2476996837022e-38
"SegID22" -0.0591041357370108 0.00595982315140321 4470 -9.91709556400092 6.04409862198447e-23
"SegID23" 0.0310284729586416 0.00595982315140324 4470 5.20627410753555 2.01317559400533e-07
"SegID24" 0.0291719512195129 0.00595982315140288 4470 4.89476792824736 1.01888928425438e-06
"SegID25" -0.0159932661717925 0.00595982315140339 4470 -2.68351354822106 0.00731214217371203
"SegID26" -0.0140954400848353 0.00595982315140296 4470 -2.36507690358517 0.0180687966865479
"SegID27" -0.058210657476138 0.00595982315140309 4470 -9.76717865570119 2.59948026303863e-22
"SegID28" -0.0680867444326598 0.00595982315140316 4470 -11.4242893963439 8.16763777160452e-30
"SegID29" 0.101469777306469 0.0059598231514032 4470 17.0256356151404 4.9521463344105e-63
"SegID30" 0.0920632555673379 0.0059598231514031 4470 15.4473133226552 1.74856921064325e-52
"SegID31" 0.0695219512195108 0.00595982315140299 4470 11.6651030497683 5.38270944432338e-31
"SegID32" 0.0269219512195141 0.00595982315140324 4470 4.5172399474933 6.42661074372613e-06
"SegID33" 0.0709654294803826 0.0059598231514031 4470 11.9073045755855 3.31197120823325e-32
"SegID34" 0.0541523860021194 0.00595982315140296 4470 9.08624041795128 1.50772228878279e-19
"SegID35" -0.0168606574761401 0.00595982315140326 4470 -2.82905332051174 0.00468939615923513
"SegID36" 0.00816542948038071 0.005959823151403 4470 1.37007915720762 0.170731001604693
"SegID37" 0.0462371686108186 0.00595982315140325 4470 7.75814440063242 1.06048734028729e-14
"SegID38" 0.0382002120890787 0.00595982315140322 4470 6.40962174860584 1.60957939887855e-10
"SegID39" 0.0232893425238599 0.00595982315140306 4470 3.9077237582758 9.45476428121508e-05
"SegID40" 0.0485393425238576 0.00595982315140303 4470 8.14442665340342 4.89803606589227e-16
"SegID41" 0.050700212089077 0.00595982315140309 4470 8.50699941946112 2.40402594773538e-17
"SegID42" 0.0265349946977713 0.005959823151403 4470 4.45231243002986 8.70213476851268e-06
"SegID43" 0.0480306468716885 0.00595982315140325 4470 8.05907250123347 9.78087182462411e-16
"SegID44" 0.0495284729586422 0.00595982315140309 4470 8.3103930604018 1.25159141920834e-16
"SegID45" 0.0398871686108152 0.00595982315140296 4470 6.69267654383765 2.4617605657532e-11
"SegID46" 0.04905890774125 0.00595982315140301 4470 8.2316046122444 2.39977371265123e-16
"SegID47" 0.0541045599151642 0.00595982315140299 4470 9.0782156686021 1.62094525086141e-19
"SegID48" 0.0416132555673371 0.00595982315140305 4470 6.98229704308266 3.33145959309153e-12
"SegID49" -0.11108674443266 0.00595982315140309 4470 -18.6392685840867 9.83809776743782e-75
"SegID50" -0.134151961823962 0.00595982315140305 4470 -22.5093863384822 2.24146005095122e-106
"SegID51" 0.065608907741253 0.00595982315140319 4470 11.0085326484572 7.8939825122369e-28
"SegID52" 0.0340349946977737 0.00595982315140317 4470 5.71073903254336 1.19775678240625e-08
"SegID53" 0.0309589077412508 0.00595982315140316 4470 5.19460174484573 2.14285526558619e-07
"SegID54" 0.0437371686108155 0.00595982315140308 4470 7.33866886646105 2.54904333121874e-13
"SegID55" 0.0805458642629923 0.00595982315140324 4470 13.5148077747958 8.02431902626199e-41
"SegID56" 0.0778502120890788 0.0059598231514032 4470 13.0625037205591 2.68887462682655e-38
"SegID57" 0.0709915164369027 0.00595982315140304 4470 11.9116817115941 3.1476812778336e-32
"SegID58" 0.0574741251325561 0.00595982315140319 4470 9.6435957363977 8.51808225782866e-22
"SegID59" 0.0798176033934259 0.0059598231514032 4470 13.3926127278849 3.92953246264962e-40
"SegID60" 0.0756915164369028 0.00595982315140311 4470 12.7002957158356 2.48297069703729e-36
"SegID61" -0.0249171792152714 0.00595982315140322 4470 -4.18085882454495 2.95967986297083e-05
"SegID62" -0.0240889183457055 0.00595982315140322 4470 -4.04188475626728 5.39150034410947e-05
"SegID63" 0.0791284729586449 0.00595982315140325 4470 13.2769833849875 1.74557320119526e-39
"SegID64" 0.0780458642629896 0.00595982315140312 4470 13.0953322406245 1.7739300715457e-38
"SegID65" 0.0331589077412513 0.00595982315140314 4470 5.56374021491637 2.79471910458296e-08
"SegID66" 0.050898038176034 0.00595982315140315 4470 8.54019270086072 1.81305280550702e-17
"SegID67" 0.0643371686108163 0.0059598231514031 4470 10.7951472680309 7.75473668310947e-27
"SegID68" 0.0623741251325556 0.00595982315140314 4470 10.465767783373 2.43008960321672e-25
"SegID69" 0.0549980381760339 0.00595982315140313 4470 9.22813257690133 4.14921175914755e-20
"SegID70" 0.0509523860021215 0.00595982315140319 4470 8.54931173421231 1.67752888060681e-17
"SegID71" 0.0299762990455995 0.00595982315140314 4470 5.02972962184996 5.10419712653587e-07
"SegID72" 0.016698038176034 0.00595982315140313 4470 2.80176739340039 0.00510421818321641
"SegID73" 0.0190371686108166 0.00595982315140314 4470 3.19425058885088 0.00141168342723415
"SegID74" -0.0169084835630964 0.00595982315140318 4470 -2.8370780698611 0.00457334533004492
"SegID75" 0.0216958642629907 0.00595982315140316 4470 3.64035370040848 0.000275343676266747
"SegID76" 0.014954559915165 0.00595982315140317 4470 2.50922880348289 0.0121346033471739
"SegID77" 0.0481849946977733 0.00595982315140314 4470 8.08497055595164 7.93522567764745e-16
"SegID78" 0.0474328207847296 0.00595982315140311 4470 7.95876313436625 2.18547297658623e-15
"SegID79" 0.0772371686108159 0.0059598231514031 4470 12.9596410243536 9.8371497424553e-38
"SegID80" 0.0905828207847297 0.00595982315140315 4470 15.198910854159 6.60489089726722e-51
"SegID81" 0.0305002120890791 0.0059598231514031 4470 5.1176371033591 3.22365291154134e-07
"Age" -0.00127478204919253 0.000230139004977735 55 -5.53918293561693 8.8199709356483e-07
"ParticipantTypePatient:SegID1" 0.0216009432356956 0.0141097369603689 4470 1.53092458749357 0.125858794570344
"ParticipantTypePatient:SegID2" -0.0218625014535975 0.0131080471908003 4470 -1.66786868672103 0.0954118403639381
"ParticipantTypePatient:SegID3" -0.0301806173956216 0.0131080471908004 4470 -2.30244955303511 0.0213555605359498
"ParticipantTypePatient:SegID4" 0.00616321813833763 0.0175504996008393 4470 0.351170523831862 0.725476972392456
"ParticipantTypePatient:SegID5" -8.2458114701236e-05 0.0147392704344789 4470 -0.00559445021840058 0.995536547474632
"ParticipantTypePatient:SegID6" -0.0121998202941736 0.0131080471908005 4470 -0.930712265266768 0.352052684327628
"ParticipantTypePatient:SegID7" 0.000237882223619517 0.0135725655175591 4470 0.017526695547114 0.986017218365144
"ParticipantTypePatient:SegID8" -0.022405617395621 0.0131080471908004 4470 -1.70930246660585 0.0874643467366621
"ParticipantTypePatient:SegID9" -0.0142755449318545 0.0131080471908004 4470 -1.08906725189954 0.276182940174851
"ParticipantTypePatient:SegID10" -0.00226684927967638 0.0131080471908004 4470 -0.172935697185109 0.862709801832404
"ParticipantTypePatient:SegID11" 0.00804112173481183 0.0131080471908004 4470 0.613449251270267 0.539610541943948
"ParticipantTypePatient:SegID12" 0.0191150347782925 0.0131080471908004 4470 1.45826716215272 0.144837173208777
"ParticipantTypePatient:SegID13" 0.0201639478217757 0.0131080471908005 4470 1.53828770435975 0.12404906428789
"ParticipantTypePatient:SegID14" -0.0115159231847737 0.0135722077301134 4470 -0.848492994932777 0.396208905910457
"ParticipantTypePatient:SegID15" 0.00357264347395087 0.0131080471908005 4470 0.272553449186408 0.78520908889306
"ParticipantTypePatient:SegID16" 0.00508613381584787 0.0135716838520532 4470 0.374760705546379 0.707856218659236
"ParticipantTypePatient:SegID17" 0.0361927724673997 0.0135722077301134 4470 2.66668276724772 0.00768798688537384
"ParticipantTypePatient:SegID18" 0.0269980057927849 0.0131080471908004 4470 2.05965125085397 0.0394896710602275
"ParticipantTypePatient:SegID19" 0.00304112173481503 0.0131080471908004 4470 0.232004179611847 0.816545387798062
"ParticipantTypePatient:SegID20" 0.00755452753191546 0.0131080471908004 4470 0.576327459151766 0.564422883094652
"ParticipantTypePatient:SegID21" -0.0283399382930459 0.0141079620442829 4470 -2.00879036986992 0.044619395289694
"ParticipantTypePatient:SegID22" -0.0157269820311722 0.0135724124827372 4470 -1.15874624729947 0.246621533339677
"ParticipantTypePatient:SegID23" 0.0290872388705612 0.0135722077301134 4470 2.14314719086002 0.0321551063578204
"ParticipantTypePatient:SegID24" 0.0185559768072771 0.0131080471908004 4470 1.41561718058966 0.156957286494572
"ParticipantTypePatient:SegID25" -0.0231690045240713 0.0135716838520533 4470 -1.7071576951423 0.0878621931722317
"ParticipantTypePatient:SegID26" -0.00720377374397086 0.0141085763612513 4470 -0.51059536834317 0.609659633452598
"ParticipantTypePatient:SegID27" -0.0361530811637362 0.0131080471908004 4470 -2.75808292703655 0.00583778203779059
"ParticipantTypePatient:SegID28" -0.0503573444450188 0.0135716838520533 4470 -3.71047137510503 0.000209388334321089
"ParticipantTypePatient:SegID29" 0.00488471133444576 0.0135724490764237 4470 0.359899035681839 0.718939640585547
"ParticipantTypePatient:SegID30" 0.015224316066736 0.0141087841160124 4470 1.07906648379839 0.280616313008057
"ParticipantTypePatient:SegID31" -0.0139124280639277 0.0135718743628894 4470 -1.02509260636611 0.305374963557995
"ParticipantTypePatient:SegID32" -0.00998779596196802 0.014109800182556 4470 -0.707862324961622 0.4790676639775
"ParticipantTypePatient:SegID33" 0.0116268452783015 0.0135716838520533 4470 0.856698800609215 0.391657290386626
"ParticipantTypePatient:SegID34" 0.0162945281487664 0.0141088494838704 4470 1.15491544277899 0.248186789413384
"ParticipantTypePatient:SegID35" -0.0114538513365234 0.0141079620442829 4470 -0.811871431222412 0.416908639546123
"ParticipantTypePatient:SegID36" -0.00861008366222069 0.0135725635374787 4470 -0.634374165090122 0.525869129196236
"ParticipantTypePatient:SegID37" -0.00159257391735977 0.0131080471908004 4470 -0.121495894405803 0.90330372750851
"ParticipantTypePatient:SegID38" 0.00886938260437958 0.0131080471908005 4470 0.676636456619132 0.49867165299869
"ParticipantTypePatient:SegID39" 0.00187466683173994 0.013572377615327 4470 0.138123686569324 0.890148887493098
"ParticipantTypePatient:SegID40" 0.00508025216959761 0.0131080471908004 4470 0.387567430575246 0.698354628122793
"ParticipantTypePatient:SegID41" -0.00144728406228673 0.0131080471908005 4470 -0.11041187456988 0.912087692847481
"ParticipantTypePatient:SegID42" 0.00550126666235098 0.0131080471908005 4470 0.419686211246775 0.674734868854222
"ParticipantTypePatient:SegID43" 0.000633421738442677 0.0135718743628894 4470 0.0466716476667872 0.962777012498018
"ParticipantTypePatient:SegID44" -0.0190672115985188 0.0131080471908004 4470 -1.45461877890558 0.145845042772003
"ParticipantTypePatient:SegID45" 0.00242118560088248 0.0141085689636675 4470 0.17161099804789 0.863751128655864
"ParticipantTypePatient:SegID46" -0.0100405535295521 0.0141085689636676 4470 -0.711663497227011 0.476710314037073
"ParticipantTypePatient:SegID47" 0.0191707116993617 0.0141084707565247 4470 1.35880862144438 0.174275799594097
"ParticipantTypePatient:SegID48" 0.0131399529311548 0.0135715976783626 4470 0.968194993880782 0.332999376009858
"ParticipantTypePatient:SegID49" -0.00729464150266349 0.0135718743628894 4470 -0.537482245091346 0.590961300910551
"ParticipantTypePatient:SegID50" -0.00193370139876202 0.0135724124827373 4470 -0.142472931855077 0.886712879636068
"ParticipantTypePatient:SegID51" -0.0178820083972518 0.0141089725074432 4470 -1.26742102501214 0.205070807415202
"ParticipantTypePatient:SegID52" 0.00442035112038806 0.0135725635374787 4470 0.325682845998981 0.744679568313657
"ParticipantTypePatient:SegID53" 0.0159773536188731 0.0131080471908004 4470 1.21889655921337 0.222947775784639
"ParticipantTypePatient:SegID54" 0.0052157594159742 0.0131080471908004 4470 0.397905144836125 0.690719109057472
"ParticipantTypePatient:SegID55" -0.00221992849176983 0.0135715976783627 4470 -0.163571640154724 0.870075766621672
"ParticipantTypePatient:SegID56" 0.0030029964094159 0.0135715976783627 4470 0.221270662495662 0.82489179851787
"ParticipantTypePatient:SegID57" -0.0114149984861578 0.0141077074869295 4470 -0.809132064634422 0.418482251287218
"ParticipantTypePatient:SegID58" 0.00685181063866534 0.0135715976783627 4470 0.50486396672289 0.613679272016403
"ParticipantTypePatient:SegID59" 0.00705199130003212 0.0131080471908005 4470 0.537989465355402 0.5906111057943
"ParticipantTypePatient:SegID60" 0.00275605519717044 0.0141087841160123 4470 0.195343211329072 0.845133149284869
"ParticipantTypePatient:SegID61" -0.019729892757939 0.0131080471908004 4470 -1.50517407137395 0.132349983779523
"ParticipantTypePatient:SegID62" -0.00074148696083757 0.0131080471908004 4470 -0.0565673093821301 0.954892404404891
"ParticipantTypePatient:SegID63" 0.00396612173481437 0.0131080471908005 4470 0.302571517868649 0.762230501359137
"ParticipantTypePatient:SegID64" 0.00119873043046664 0.0131080471908004 4470 0.0914499629897533 0.927139161053583
"ParticipantTypePatient:SegID65" 0.00631419252343981 0.013572377615327 4470 0.465223758312569 0.641793889166107
"ParticipantTypePatient:SegID66" -0.00100344348257642 0.0131080471908004 4470 -0.0765517142233557 0.938983598583865
"ParticipantTypePatient:SegID67" 0.00606316376127069 0.0135722564638876 4470 0.446732183215314 0.655090083691283
"ParticipantTypePatient:SegID68" -0.00428577092085674 0.0141085689636675 4470 -0.303770774477091 0.76131667220314
"ParticipantTypePatient:SegID69" 0.00310488985075661 0.0131080471908004 4470 0.236868986322822 0.812769284755393
"ParticipantTypePatient:SegID70" 0.00470054202466953 0.0131080471908004 4470 0.358599717886925 0.719911492778843
"ParticipantTypePatient:SegID71" 0.0114150422918029 0.0135718743628894 4470 0.841080751750541 0.400347687370079
"ParticipantTypePatient:SegID72" 0.01163822318409 0.0131080471908005 4470 0.887868575286939 0.374659220946928
"ParticipantTypePatient:SegID73" -0.0143759072506927 0.0131080471908004 4470 -1.09672379427975 0.27282123086587
"ParticipantTypePatient:SegID74" -0.0115317251141768 0.0135724124827372 4470 -0.849644462901785 0.395568286726548
"ParticipantTypePatient:SegID75" -0.00589293623619994 0.0131080471908005 4470 -0.449566296979442 0.653044991939013
"ParticipantTypePatient:SegID76" -0.00969864879284484 0.0135716838520532 4470 -0.714623837290281 0.474878828652997
"ParticipantTypePatient:SegID77" 0.0244307171314302 0.0135722077301134 4470 1.80005476023068 0.0719193909804083
"ParticipantTypePatient:SegID78" 0.0119294786228547 0.0135715976783627 4470 0.879003261485855 0.379446755624485
"ParticipantTypePatient:SegID79" 0.0149907594159741 0.0131080471908004 4470 1.1436302599288 0.252838247904786
"ParticipantTypePatient:SegID80" 0.00503402407740005 0.0135715976783627 4470 0.370923468017759 0.710712112364057
"ParticipantTypePatient:SegID81" -0.00248895072896272 0.0131080471908004 4470 -0.189879597832813 0.84941210186355
