"Model","AIC"
"PVE1 ~ SegID + Age",-15689.2601588421
"PVE1 ~ SegID + Sex + Age",-15685.0298764939
"PVE1 ~ ParticipantType + SegID + Age",-15680.0028392989
"PVE1 ~ SegID",-15677.1722899063
"PVE1 ~ ParticipantType + SegID + Sex + Age",-15675.5941115068
"PVE1 ~ SegID + Sex + Age + Sex:Age",-15675.3504899406
"PVE1 ~ ParticipantType + SegID",-15672.045625242
"PVE1 ~ SegID + Sex",-15671.8438541858
"PVE1 ~ ParticipantType + SegID + Sex",-15668.3585432373
"PVE1 ~ ParticipantType + SegID + Age + ParticipantType:Age",-15667.8455907928
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex",-15667.5698203747
"PVE1 ~ ParticipantType + SegID + Sex + Age + Sex:Age",-15665.9226956204
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age",-15662.2270355814
"PVE1 ~ ParticipantType + SegID + Sex + ParticipantType:Sex",-15661.0703782705
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      Sex:Age",-15660.6508893036
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-15655.3059091447
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      Sex:Age",-15652.0028709794
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-15651.1992154946
"PVE1 ~ SegID + Sex + Age + SegID:Sex",-15232.8265403027
"PVE1 ~ ParticipantType + SegID + Sex + Age + SegID:Sex",-15223.3882025925
"PVE1 ~ SegID + Sex + Age + SegID:Sex + Sex:Age",-15223.2175393132
"PVE1 ~ SegID + Sex + SegID:Sex",-15219.6177675521
"PVE1 ~ ParticipantType + SegID + Sex + SegID:Sex",-15216.0892318671
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex",-15215.3566907521
"PVE1 ~ ParticipantType + SegID + Sex + Age + SegID:Sex + Sex:Age",-15213.7796058263
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex",-15210.0619595619
"PVE1 ~ ParticipantType + SegID + Sex + ParticipantType:Sex +      SegID:Sex",-15208.824895554
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + Sex:Age",-15208.4381566584
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex",-15203.1113020356
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + Sex:Age",-15199.8905285824
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + Sex:Age",-15199.0214617294
"PVE1 ~ ParticipantType + SegID + Age + ParticipantType:SegID",-15064.3732852833
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID",-15059.9374428834
"PVE1 ~ ParticipantType + SegID + ParticipantType:SegID",-15056.4733840614
"PVE1 ~ ParticipantType + SegID + Sex + ParticipantType:SegID",-15052.7653381281
"PVE1 ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age",-15052.1666513927
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex",-15051.9178752298
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      Sex:Age",-15050.2382528099
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age",-15046.5364445229
"PVE1 ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex",-15045.4662214514
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + Sex:Age",-15044.9998286795
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age",-15039.6217396874
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + Sex:Age",-15036.2920900263
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + Sex:Age",-15035.4881509221
"PVE1 ~ SegID + Age + SegID:Age",-14720.2064566478
