"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"1" "Control" "35" 2.21570655658358 0.0542318428299653 54 2.10960288812402 2.32714676896046
"2" "Patient" "35" 2.38993290319336 0.126008185851923 54 2.15019576652386 2.65639965006548
"3" "Control" "36" 2.72287797620946 0.0666454183710415 54 2.59248736054551 2.85982666151416
"4" "Patient" "36" 2.36700822739585 0.116821409581915 54 2.14401003042875 2.61320043705171
"5" "Control" "37" 2.51173069957794 0.0614773576970133 54 2.39145130580359 2.63805961337873
"6" "Patient" "37" 2.25751338523992 0.111417397185781 54 2.04483080614662 2.49231705098441
"7" "Control" "38" 39.9971818162473 0.978974797657685 54 38.08183444945 42.0088626603713
"8" "Patient" "38" 37.9330187375179 2.44545829465092 54 33.333796128542 43.1668179943304
"9" "Control" "39" 39.8518856085345 0.97541851396253 54 37.9434960496679 41.8562586978492
"10" "Patient" "39" 37.9202479937132 2.08059456770577 54 33.9701507364507 42.3296681566315
"11" "Control" "47" 3.32836450405026 0.0814653637812063 54 3.16897891988931 3.49576647616472
"12" "Patient" "47" 3.25293080247346 0.160545264363305 54 2.94646895945384 3.59126770086255
"13" "Control" "48" 3.23265117420943 0.0791226752851936 54 3.07784901982911 3.39523919035439
"14" "Patient" "48" 3.14177170366123 0.159973040348857 54 2.83687256820116 3.47944054610297
"15" "Control" "57" 2.33255556237002 0.0570918501255255 54 2.22085633878924 2.4498727614725
"16" "Patient" "57" 1.95586890223344 0.09653002447217 54 1.77160454959875 2.15929856558016
"17" "Control" "58" 2.49662772096177 0.0611076957667657 54 2.37707156440088 2.62219702192507
"18" "Patient" "58" 2.16051022778564 0.10662989984777 54 1.95696641253864 2.38522460807651
"19" "Control" "59" 2.25478259815276 0.0551882717119846 54 2.14680769302287 2.36818816210491
"20" "Patient" "59" 2.02817484176583 0.100098614424478 54 1.83709847472446 2.23912503622802
"21" "Control" "60" 2.37997043320599 0.0582523809798186 54 2.26600065095386 2.49967239001029
"22" "Patient" "60" 2.20609727107579 0.108879804429508 54 1.99825865518504 2.43555315365185
"23" "Control" "61" 0.601769055369626 0.0147289562030552 54 0.572952105692583 0.632035369802358
"24" "Patient" "61" 0.580973611962147 0.0286733926370783 54 0.526239510722641 0.641400599762722
"25" "Control" "62" 0.633686344557872 0.0155101667860511 54 0.60334096980121 0.665557957072639
"26" "Patient" "62" 0.621698146999648 0.0306833128108174 54 0.563127346850278 0.686360888251372
"27" "Control" "71" 2.66946424453539 0.065338058832608 54 2.54163145533989 2.80372645604512
"28" "Patient" "71" 2.55258987229455 0.129947930430327 54 2.30491441813224 2.82687938644622
"29" "Control" "100" 3.92716335533156 0.0961216209886244 54 3.73910305582911 4.12468225378698
"30" "Patient" "100" 3.42587854120272 0.169080933309666 54 3.10312311987618 3.78220371080268
"31" "Control" "101" 4.33082489918717 0.106001679039561 54 4.12343443590835 4.54864618292101
"32" "Patient" "101" 4.11727593229381 0.209612563442105 54 3.71776381481454 4.55971975279755
"33" "Control" "102" 3.63151840108242 0.0888853871810984 54 3.45761566866131 3.81416766962599
"34" "Patient" "102" 3.47277939396208 0.176793185613009 54 3.13581879447811 3.84594822263471
"35" "Control" "103" 3.60781963853324 0.0883053340319053 54 3.43505177012964 3.78927696443273
"36" "Patient" "103" 3.36461021336398 0.166057094043705 54 3.04762694207947 3.71456287236682
