"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"1" "(Intercept)" 0.759893037510708 0.0139690223934084 4470 54.3984407863273 0
"2" "ParticipantTypePatient" -0.0286752515310156 0.0134740306771234 54 -2.1281865997011 0.0379018618809459
"3" "SegID1" -0.332979272513144 0.00908451886067149 4470 -36.6534846390898 2.07650349266743e-257
"4" "SegID2" -0.24346333616411 0.00908451886067206 4470 -26.799805239889 7.49852714097242e-147
"5" "SegID3" -0.278518441573119 0.00908451886067116 4470 -30.6585792648728 1.6107042181705e-187
"6" "SegID4" 0.923537876858993 0.00908451886067115 4470 101.660626283378 0
"7" "SegID5" 0.921957359692525 0.0090845188606714 4470 101.48664710069 0
"8" "SegID6" -0.156260633599669 0.00908451886067119 4470 -17.2007605461808 2.94528397631532e-64
"9" "SegID7" -0.168932671638027 0.00908451886067205 4470 -18.5956652442384 2.09426793553498e-74
"10" "SegID8" -0.310659517746481 0.00908451886067164 4470 -34.1965845974933 7.05841261973675e-228
"11" "SegID9" -0.281137727017433 0.00908451886067186 4470 -30.9469033340354 1.05193114710944e-190
"12" "SegID10" -0.325386840964643 0.00908451886067137 4470 -35.8177296954388 3.09658943399083e-247
"13" "SegID11" -0.301919953576918 0.00908451886067116 4470 -33.2345563047917 1.22672135972395e-216
"14" "SegID12" -0.899061663995747 0.00908451886067126 4470 -98.9663489926768 0
"15" "SegID13" -0.876617166828012 0.00908451886067166 4470 -96.4957176348687 0
"16" "SegID14" -0.252067407164578 0.00908451886067128 4470 -27.7469188000511 1.75643536782897e-156
"17" "SegID15" -0.0844125486747737 0.00908451886067127 4470 -9.29191187441008 2.3090379187425e-20
"18" "SegID16" -0.0419208903485877 0.00908451886067172 4470 -4.61454161651528 4.04994918460652e-06
"19" "SegID17" -0.118403266255215 0.00908451886067154 4470 -13.0335208799889 3.87881855096099e-38
"20" "SegID18" -0.121246697108317 0.00908451886067138 4470 -13.3465182876352 7.13038492757026e-40
"21" "SegID19" 0.315671853488856 0.00908451886067171 4470 34.7483293645246 2.07878926034697e-234
"22" "SegID20" 0.261653622523404 0.00908451886067171 4470 28.8021442342029 1.7362940772082e-167
"23" "SegID21" -0.321089450301607 0.0090845188606717 4470 -35.3446842068493 1.55520911664432e-241
"24" "SegID22" -0.283695387755999 0.00908451886067162 4470 -31.2284439172847 7.8228673135946e-194
"25" "SegID23" -0.175251195017522 0.00908451886067168 4470 -19.2911917191578 1.02234628010508e-79
"26" "SegID24" -0.151458049449623 0.00908451886067112 4470 -16.6721046840816 1.3668484786961e-60
"27" "SegID25" -0.0909884916678834 0.00908451886067189 4470 -10.0157744249709 2.28756872904745e-23
"28" "SegID26" -0.0991766119207513 0.00908451886067124 4470 -10.9171012182172 2.1119373053276e-27
"29" "SegID27" -0.288614581386718 0.00908451886067143 4470 -31.7699358450544 6.68861351067447e-200
"30" "SegID28" -0.300021940797895 0.00908451886067155 4470 -33.0256280381277 3.19458730950652e-214
"31" "SegID29" 0.158054981395373 0.0090845188606716 4470 17.3982776434776 1.1848712375328e-65
"32" "SegID30" 0.140893103045892 0.00908451886067146 4470 15.509143104523 7.02371404298358e-53
"33" "SegID31" 0.0822639413835663 0.00908451886067128 4470 9.0553988213623 1.99085223671314e-19
"34" "SegID32" 0.0546726536813908 0.00908451886067167 4470 6.01822226580181 1.90450787609055e-09
"35" "SegID33" 0.369782993301278 0.00908451886067145 4470 40.7047416569453 2.08171904309011e-308
"36" "SegID34" 0.366867126847039 0.00908451886067124 4470 40.3837707283853 2.83819056057051e-304
"37" "SegID35" 0.182029375831632 0.0090845188606717 4470 20.0373160784184 1.34906133714203e-85
"38" "SegID36" 0.131500306538108 0.0090845188606713 4470 14.4752087099955 1.92380930428141e-46
