"Model","AIC"
"log10(LacBic) ~ SegID",-8163.82633162834
"log10(LacBic) ~ SegID + Sex",-8160.33833142008
"log10(LacBic) ~ ParticipantType + SegID",-8160.12290495531
"log10(LacBic) ~ ParticipantType + SegID + Sex",-8155.84396853655
"log10(LacBic) ~ SegID + Age",-8153.83928601806
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:Sex",-8152.27861296689
"log10(LacBic) ~ SegID + Sex + Age",-8150.94627683146
"log10(LacBic) ~ ParticipantType + SegID + Age",-8147.86766679567
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age",-8144.39323164034
"log10(LacBic) ~ SegID + Sex + Age + Sex:Age",-8143.4510005657
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex",-8140.1818055529
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:Age",-8137.5457934745
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + Sex:Age",-8137.25579752147
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age",-8133.1736011981
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-8132.05182644389
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      Sex:Age",-8131.86546730655
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      Sex:Age",-8126.75999313724
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-8122.44179838194
"log10(LacBic) ~ ParticipantType + SegID + ParticipantType:SegID",-7648.00392072426
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:SegID",-7643.71582367944
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex",-7640.16357075645
"log10(LacBic) ~ SegID + Sex + SegID:Sex",-7638.35926554344
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:SegID",-7635.74927272418
"log10(LacBic) ~ ParticipantType + SegID + Sex + SegID:Sex",-7633.85517585258
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID",-7632.26417172744
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:Sex +      SegID:Sex",-7630.27429730277
"log10(LacBic) ~ SegID + Sex + Age + SegID:Sex",-7628.95124151702
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex",-7628.06412991814
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age",-7625.42359171449
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      Sex:Age",-7625.13532913994
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Sex",-7622.39641089685
"log10(LacBic) ~ SegID + Sex + Age + SegID:Sex + Sex:Age",-7621.44618078696
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age",-7621.04310639868
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age",-7619.94140802108
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + Sex:Age",-7619.7453669772
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex",-7618.17278489478
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      Sex:Age",-7615.24769135885
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + Sex:Age",-7614.63755520424
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex",-7611.18936940063
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + Sex:Age",-7610.32828991067
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex",-7610.05897166174
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + Sex:Age",-7609.85842986666
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + Sex:Age",-7604.76934247918
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + Sex:Age",-7600.44831239305
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      SegID:Sex",-7116.45420394291
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex",-7112.88149426642
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex",-7104.99464888353
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex",-7100.77816478953
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + Sex:Age",-7097.84919859958
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex",-7093.78689705145
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex",-7092.66920319291
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + Sex:Age",-7092.46023816129
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + Sex:Age",-7087.36966464385
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + Sex:Age",-7083.05478118989
"log10(LacBic) ~ SegID + Age + SegID:Age",-7063.58618416944
"log10(LacBic) ~ SegID + Sex + Age + SegID:Age",-7060.68257610467
"log10(LacBic) ~ ParticipantType + SegID + Age + SegID:Age",-7057.62593157138
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Age",-7054.13786185984
"log10(LacBic) ~ SegID + Sex + Age + SegID:Age + Sex:Age",-7053.20272081747
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age",-7049.94626922029
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:Age +      SegID:Age",-7047.28700691158
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Age +      Sex:Age",-7047.02076355466
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age",-7042.90701319046
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age",-7041.81096944877
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age + Sex:Age",-7041.62945991689
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age + Sex:Age",-7036.5098778977
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age + Sex:Age",-7032.20124307662
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      SegID:Age",-6565.26273741796
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age",-6561.76750916562
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age",-6557.5822240396
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-6554.91492634032
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age + Sex:Age",-6554.64988414619
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-6550.531169927
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age",-6549.43778790109
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age + Sex:Age",-6549.25935745136
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age + Sex:Age",-6544.13031625824
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age + Sex:Age",-6539.82443623033
"log10(LacBic) ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-6539.18472961806
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age",-6532.63822384881
"log10(LacBic) ~ SegID + Sex + Age + SegID:Sex + SegID:Age + Sex:Age",-6531.69512857244
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age",-6528.43424983779
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age + Sex:Age",-6525.509877789
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age",-6521.4201407988
