"ParticipantType" "SegID" "emmean" "SE" "df" "lower.CL" "upper.CL"
"1" "Control" "35" 0.853393478260869 0.00314055722069662 57 0.847104620903497 0.859682335618241
"2" "Patient" "35" 0.840616736923581 0.00668628608133083 56 0.827222496387593 0.854010977459569
"3" "Control" "40" 0.963467391304347 0.00314055722069662 57 0.957178533946975 0.969756248661719
"4" "Patient" "40" 0.961369727425638 0.00669030965453749 56 0.947967426703967 0.974772028147309
"5" "Control" "41" 0.949493478260869 0.00314055722069662 57 0.943204620903497 0.955782335618241
"6" "Patient" "41" 0.952933660671603 0.00669030965453749 56 0.939531359949933 0.966335961393274
"7" "Control" "44" 0.924173913043477 0.00314055722069662 57 0.917885055686105 0.930462770400849
"8" "Patient" "44" 0.905601993239272 0.00789493778104357 56 0.889786532403516 0.921417454075029
"9" "Control" "45" 0.926399999999999 0.00314055722069662 57 0.920111142642627 0.932688857357371
"10" "Patient" "45" 0.913249261767187 0.0078934669288054 56 0.897436747402525 0.929061776131849
