"Model","AIC"
"PVE2 ~ SegID + Sex",-16943.9174636775
"PVE2 ~ SegID",-16943.1055126187
"PVE2 ~ SegID + Sex + Age",-16941.683415639
"PVE2 ~ SegID + Age",-16939.0490168425
"PVE2 ~ ParticipantType + SegID + Sex",-16934.0168996621
"PVE2 ~ ParticipantType + SegID + Sex + Age",-16933.0513693168
"PVE2 ~ ParticipantType + SegID",-16932.8834309565
"PVE2 ~ ParticipantType + SegID + Age",-16932.0388966552
"PVE2 ~ SegID + Sex + Age + Sex:Age",-16926.1473717963
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex",-16926.0243386984
"PVE2 ~ ParticipantType + SegID + Sex + ParticipantType:Sex",-16925.5509782406
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age",-16917.4674593773
"PVE2 ~ ParticipantType + SegID + Sex + Age + Sex:Age",-16917.2417456962
"PVE2 ~ ParticipantType + SegID + Age + ParticipantType:Age",-16916.8150935761
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      Sex:Age",-16913.5662524873
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-16911.1406715332
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      Sex:Age",-16901.7421020049
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-16899.4980422071
"PVE2 ~ SegID + Sex + SegID:Sex",-16512.8314616051
"PVE2 ~ SegID + Sex + Age + SegID:Sex",-16510.5939495361
"PVE2 ~ ParticipantType + SegID + Sex + SegID:Sex",-16502.928008789
"PVE2 ~ ParticipantType + SegID + Sex + Age + SegID:Sex",-16501.9726371259
"PVE2 ~ SegID + Sex + Age + SegID:Sex + Sex:Age",-16495.0774581651
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex",-16494.9084231934
"PVE2 ~ ParticipantType + SegID + Sex + ParticipantType:Sex +      SegID:Sex",-16494.4499185322
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex",-16486.3838567174
"PVE2 ~ ParticipantType + SegID + Sex + Age + SegID:Sex + Sex:Age",-16486.1800573861
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + Sex:Age",-16482.4545338399
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex",-16480.0366304042
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + Sex:Age",-16470.6724324322
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + Sex:Age",-16468.4068083329
"PVE2 ~ ParticipantType + SegID + Sex + ParticipantType:SegID",-16353.3692008312
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID",-16352.4941586055
"PVE2 ~ ParticipantType + SegID + ParticipantType:SegID",-16352.1864418077
"PVE2 ~ ParticipantType + SegID + Age + ParticipantType:SegID",-16351.4141824149
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex",-16345.4476488023
"PVE2 ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex",-16344.8923402909
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age",-16336.9004385347
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      Sex:Age",-16336.6850564981
"PVE2 ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age",-16336.200031042
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + Sex:Age",-16332.983162825
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age",-16330.5741432999
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + Sex:Age",-16321.1727347912
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + Sex:Age",-16318.9366529068
"PVE2 ~ SegID + Sex + Age + SegID:Age",-15952.6933356284
"PVE2 ~ SegID + Age + SegID:Age",-15950.1022630672
"PVE2 ~ ParticipantType + SegID + Sex + Age + SegID:Age",-15944.1421189151
"PVE2 ~ ParticipantType + SegID + Age + SegID:Age",-15943.1862822419
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age",-15937.1581199154
"PVE2 ~ SegID + Sex + Age + SegID:Age + Sex:Age",-15937.1557213603
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age",-15928.5699287484
"PVE2 ~ ParticipantType + SegID + Sex + Age + SegID:Age + Sex:Age",-15928.3255425242
"PVE2 ~ ParticipantType + SegID + Age + ParticipantType:Age +      SegID:Age",-15927.9432295163
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age + Sex:Age",-15924.7175564157
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age",-15922.2552592359
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age + Sex:Age",-15912.8425750314
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age + Sex:Age",-15910.6151729898
"PVE2 ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      SegID:Sex",-15908.2672034497
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex",-15907.3913113508
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex",-15900.3184340543
