"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"1" "Control" "35" 15.9966401598928 0.341294501096114 57 15.3276032299486 16.6948799865269
"2" "Patient" "35" 14.7553400722941 0.647950679480411 56 13.5127924228283 16.1121442434974
"3" "Control" "40" 11.5000823271223 0.245358701650369 57 11.0191075913441 12.0020512037181
"4" "Patient" "40" 9.75215237652755 0.428839047772385 56 8.92983521174436 10.6501938411957
"5" "Control" "41" 11.4130193009284 0.243501178333486 57 10.9356858535191 11.9111879499946
"6" "Patient" "41" 10.7733583641237 0.47374533988019 56 9.86493146889771 11.7654391019102
"7" "Control" "44" 177.361348268448 3.78407292193661 57 169.94345983999 185.103021259071
"8" "Patient" "44" 164.08248662962 8.02561042163407 56 148.767794316628 180.973728502406
"9" "Control" "45" 174.113513673286 3.71477911544232 57 166.83146134946 181.713421428085
"10" "Patient" "45" 160.392089050258 7.84283553939882 56 145.425964145724 176.898412749236
