"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"1" "(Intercept)" 1.56236434761397 0.00760973410390136 208 205.311292915343 4.14799089442028e-242
"2" "ParticipantTypePatient" -0.0402351513730861 0.0171097878621566 56 -2.35158680500524 0.0222368534664188
"3" "SegID1" -0.358335572035831 0.00528656312475286 208 -67.7823310872852 9.08678666080158e-144
"4" "SegID2" -0.501663398209317 0.00528656312475284 208 -94.8940524062637 3.3787443703593e-173
"5" "SegID3" -0.504963795897754 0.00528656312475284 208 -95.5183517119852 8.90496783527739e-174
"6" "SegID4" 0.68649463393203 0.00528656312475284 208 129.856509367629 4.67129234553503e-201
"7" "ParticipantTypePatient:SegID1" 0.0051555991069562 0.0130987654200023 208 0.393594277143357 0.694283768296627
"8" "ParticipantTypePatient:SegID2" -0.0313653195549468 0.0129857217710478 208 -2.41536975055766 0.0165836382368949
"9" "ParticipantTypePatient:SegID3" 0.0151857060795001 0.0129857217710478 208 1.16941563566819 0.243574547023683
"10" "ParticipantTypePatient:SegID4" 0.00643839886303848 0.014916365625654 208 0.431633215799253 0.666455073904429
