"Model","AIC"
"log10(PVE2_Vol) ~ SegID + Sex",-6238.92090445489
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex",-6233.54188486356
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + ParticipantType:Sex",-6228.62200512772
"log10(PVE2_Vol) ~ SegID + Sex + Age",-6225.01402325177
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age",-6223.77382302779
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex",-6220.11647082866
"log10(PVE2_Vol) ~ SegID + Sex + Age + Sex:Age",-6211.21377293984
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age",-6210.88885350824
"log10(PVE2_Vol) ~ SegID",-6210.6102247859
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + Sex:Age",-6209.7004214322
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-6209.08339417305
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      Sex:Age",-6207.80823866617
"log10(PVE2_Vol) ~ ParticipantType + SegID",-6206.80200310083
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-6197.66308865462
"log10(PVE2_Vol) ~ ParticipantType + SegID + Age",-6197.50901002512
"log10(PVE2_Vol) ~ SegID + Age",-6197.00431226155
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      Sex:Age",-6196.83805990513
"log10(PVE2_Vol) ~ ParticipantType + SegID + Age + ParticipantType:Age",-6186.63126150455
"log10(PVE2_Vol) ~ SegID + Sex + SegID:Sex",-6058.55758172461
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + SegID:Sex",-6053.19736411266
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + ParticipantType:Sex +      SegID:Sex",-6048.27441483719
"log10(PVE2_Vol) ~ SegID + Sex + Age + SegID:Sex",-6044.64452764958
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + SegID:Sex",-6043.42590415087
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex",-6039.76166862009
"log10(PVE2_Vol) ~ SegID + Sex + Age + SegID:Sex + Sex:Age",-6030.8489940849
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex",-6030.54557187364
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      Sex:Age",-6029.35609542484
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex",-6028.74514306627
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + Sex:Age",-6027.45543472541
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + Sex:Age",-6017.3305896866
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + Sex:Age",-6016.49792467627
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + ParticipantType:SegID",-5803.13717838774
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex",-5798.21002095988
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID",-5793.36957939064
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex",-5789.70110037296
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age",-5780.48519719299
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      Sex:Age",-5779.29614887006
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age",-5778.665786252
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + Sex:Age",-5777.38651721493
"log10(PVE2_Vol) ~ ParticipantType + SegID + ParticipantType:SegID",-5776.39149952144
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + Sex:Age",-5767.23626714513
"log10(PVE2_Vol) ~ ParticipantType + SegID + Age + ParticipantType:SegID",-5767.09850842427
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + Sex:Age",-5766.43431981453
"log10(PVE2_Vol) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age",-5756.22282220334
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      SegID:Sex",-5607.80630367382
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex",-5602.88415600155
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex",-5598.03353516264
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex",-5594.37002451344
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex",-5585.15348282655
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + Sex:Age",-5583.96303109596
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex",-5583.35332853032
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + Sex:Age",-5582.05886657893
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + Sex:Age",-5571.9321262989
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + Sex:Age",-5571.10521405366
"log10(PVE2_Vol) ~ SegID + Sex + Age + SegID:Age",-5261.27681704998
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + SegID:Age",-5260.10410427558
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age",-5256.47111459963
"log10(PVE2_Vol) ~ SegID + Sex + Age + SegID:Age + Sex:Age",-5247.47858449968
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age",-5247.21767749102
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + SegID:Age +      Sex:Age",-5246.03100852237
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age",-5245.42227811358
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age + Sex:Age",-5244.17000902406
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age + Sex:Age",-5234.00612780584
"log10(PVE2_Vol) ~ ParticipantType + SegID + Age + SegID:Age",-5233.89022461248
"log10(PVE2_Vol) ~ SegID + Age + SegID:Age",-5233.32965129052
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age + Sex:Age",-5233.16784913457
"log10(PVE2_Vol) ~ ParticipantType + SegID + Age + ParticipantType:Age +      SegID:Age",-5222.99493243573
"log10(PVE2_Vol) ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-5080.04277172955
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age",-5078.89579548597
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age",-5075.25603218884
"log10(PVE2_Vol) ~ SegID + Sex + Age + SegID:Sex + SegID:Age +      Sex:Age",-5066.24945219928
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age",-5066.01359310477
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age + Sex:Age",-5064.8262789573
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age",-5064.22154577871
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age + Sex:Age",-5062.95744428496
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-5052.81124835819
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age + Sex:Age",-5051.96694392339
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age",-4873.58979986458
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age",-4869.93919995516
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-4860.70494703276
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age + Sex:Age",-4859.51934940439
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age",-4858.8730014492
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age + Sex:Age",-4857.63311121628
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age + Sex:Age",-4847.44356537698
"log10(PVE2_Vol) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      SegID:Age",-4847.42006402475
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age + Sex:Age",-4846.65796472692
"log10(PVE2_Vol) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-4836.51912797316
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age",-4646.59077767498
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age",-4642.94175569255
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age",-4633.70927021981
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age + Sex:Age",-4632.52313009514
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age",-4631.8890296455
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age + Sex:Age",-4630.63976190653
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age +      Sex:Age",-4620.46758115055
"log10(PVE2_Vol) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-4619.66481119682
"log10(PVE2_Vol) ~ Sex",4550.92378204787
"log10(PVE2_Vol) ~ ParticipantType + Sex",4554.20592185694
"log10(PVE2_Vol) ~ ParticipantType + Sex + ParticipantType:Sex",4558.09175673176
"log10(PVE2_Vol) ~ ParticipantType + Sex + Age",4564.1566789547
"log10(PVE2_Vol) ~ Sex + Age",4565.47349156703
"log10(PVE2_Vol) ~ ParticipantType + Sex + Age + ParticipantType:Sex",4566.37310503664
"log10(PVE2_Vol) ~ ParticipantType + Sex + Age + ParticipantType:Age",4577.04289282482
"log10(PVE2_Vol) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",4577.19179448712
"log10(PVE2_Vol) ~ ParticipantType + Sex + Age + Sex:Age",4578.30385312138
"log10(PVE2_Vol) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      Sex:Age",4578.76986222041
"log10(PVE2_Vol) ~ Sex + Age + Sex:Age",4579.36927092425
"log10(PVE2_Vol) ~ ParticipantType",4579.80323474181
"log10(PVE2_Vol) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",4588.67163666147
"log10(PVE2_Vol) ~ ParticipantType + Age",4589.24077910775
"log10(PVE2_Vol) ~ ParticipantType + Sex + Age + ParticipantType:Age +      Sex:Age",4591.15791273938
"log10(PVE2_Vol) ~ Age",4591.70878919927
"log10(PVE2_Vol) ~ ParticipantType + Age + ParticipantType:Age",4600.43233296177
