"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"Control" "35" 49.7784566363039 3.26049725562816 57 43.6594812492017 56.7550203116005
"Patient" "35" 50.7546166178203 6.6550801914623 56 39.0300684800368 66.0011936525174
"Control" "36" 44.3823676271901 2.90705252081274 57 38.9267019942376 50.602657180838
"Patient" "36" 46.7691533161944 5.99777558805743 56 36.1733992917541 60.4685693006552
"Control" "37" 44.4058148853368 2.90858832015261 57 38.9472670176749 50.6293906254303
"Patient" "37" 49.9764872294584 6.40909090346771 56 38.6540978308552 64.6153814461166
"Control" "38" 71.070028360957 4.65509877337825 57 62.3338042253096 81.0306541370433
"Patient" "38" 77.0863510049245 10.9515182659639 56 57.9934141254611 102.465178173491
"Control" "39" 72.399505900027 4.74217977509002 57 63.4998568434603 82.5464609706104
"Patient" "39" 79.169953011402 10.5303889949072 56 60.6515966685731 103.342398289662
"Control" "40" 49.7375471807541 3.25781767943073 57 43.6236005544558 56.708377303007
"Patient" "40" 51.7976118870174 6.79193321769554 56 39.8319842547825 67.3577439686788
"Control" "41" 57.5159415466121 3.76730381453474 57 50.4458422612708 65.5769312931672
"Patient" "41" 57.9274827054692 7.59568887766358 56 44.5458412410151 75.328990520956
"Control" "44" 81.4490630382876 5.33492728491205 57 71.4370046959575 92.8643340807703
"Patient" "44" 95.3364253025956 13.1812536262026 56 72.2724542267383 125.760693845578
"Control" "45" 82.5328686484114 5.40591673408799 57 72.3875844027312 94.1000375069696
"Patient" "45" 94.6398540730964 13.0848703507689 56 71.7445128169677 124.841630771499
"Control" "47" 48.462117343256 3.17427681123366 57 42.5049518691063 55.2541930790543
"Patient" "47" 47.1568325167068 6.04749239240302 56 36.4732480921467 60.9698057982269
"Control" "48" 55.3717916789022 3.62686163870757 57 48.5652602330105 63.1322739551123
"Patient" "48" 62.9755005556514 8.15906214966104 56 48.579775062746 81.637135312225
"Control" "57" 55.9620701011869 3.6655249743344 57 49.0829791711014 63.8052812379824
"Patient" "57" 64.5695832173945 8.28054053777862 56 49.9410647875933 83.4830233316087
"Control" "58" 57.5019722301277 3.76638882196292 57 50.4335901113985 65.5610041452726
"Patient" "58" 62.4454947827414 8.00814292403292 56 48.2981977774032 80.7367561960207
"Control" "59" 52.7854654304758 3.45745683580724 57 46.2968559879272 60.1834682130151
"Patient" "59" 53.6826244959272 6.88437382066178 56 41.5205936654848 69.4071042429801
"Control" "60" 57.5495309600878 3.76950392674912 57 50.4753027240272 65.6152283391765
"Patient" "60" 67.5448682098578 8.6620974065691 56 52.2422860928307 87.3298158005599
"Control" "61" 49.0755696289661 3.21445803880019 57 43.0429960427321 55.9536220949045
"Patient" "61" 44.0225800090743 5.64554919172131 56 34.049074050054 56.9174817443318
"Control" "62" 58.8749501267406 3.85631910438712 57 51.6377958418152 67.1264080102211
"Patient" "62" 70.6426335703194 9.05936141797627 56 54.6382393088009 91.3349650516024
"Control" "71" 82.3779378389657 5.39576874009333 57 72.2516983341987 93.9233927929475
"Patient" "71" 88.6196760903724 11.4815555521722 56 68.3618049880454 114.88062656824
"Control" "100" 71.5340979235027 4.68549540753173 57 62.7408284227918 81.559764102037
"Patient" "100" 68.4256572674472 8.7750516666585 56 52.9235285788039 88.4686017394035
"Control" "101" 76.7398487831316 5.02647296164356 57 67.3066666870142 87.495112759671
"Patient" "101" 84.065981606593 10.8916904396318 56 64.8488833054791 108.977809690101
"Control" "102" 76.2725404083386 4.99586418474479 57 66.896801805587 86.9623100555426
"Patient" "102" 87.2298426150857 11.3014888789596 56 67.2896782415369 113.078939318745
"Control" "103" 73.5499801079193 4.81753602859768 57 64.5089099660621 83.8581767498674
"Patient" "103" 87.2258509710342 11.1860284505183 56 67.4644570622515 112.775666016264
"Control" "106" 87.7808899997168 5.74966301249171 57 76.9904970935924 100.083580961626
"Patient" "106" 106.440112444641 13.6501061649431 56 82.3256444710106 137.618084984653
"Control" "107" 102.915879906066 6.74100738891869 57 90.2650309517025 117.339774053885
"Patient" "107" 124.363360315816 15.9486215520757 56 96.188302994371 160.79133228857
"Control" "108" 162.106463659254 10.6180005487579 57 142.179661418911 184.826052459666
"Patient" "108" 190.054770560431 24.921223070532 56 146.150116293697 247.148731241455
"Control" "109" 175.582994731784 11.5007155935093 57 153.999601116203 200.191349948491
"Patient" "109" 220.335726223849 28.5466310953002 56 169.96850246706 285.628404945201
"Control" "112" 93.8469013932441 6.14698777580669 57 82.3108490809619 106.999757619441
"Patient" "112" 109.759448679213 14.2204221791676 56 84.6691655536176 142.284815205079
"Control" "113" 86.6280527854453 5.67415198167006 57 75.9793714352054 98.7691709952826
"Patient" "113" 107.780270197417 13.8219708424882 56 83.3621836868771 139.350795889203
"Control" "114" 145.298999452058 9.51710882521534 57 127.438240772583 165.662983997431
"Patient" "114" 168.865816832681 21.8784598434154 56 130.263864654714 218.906940694214
"Control" "115" 163.390013451693 10.7020732753651 57 143.305431920492 186.289494668674
"Patient" "115" 198.647171847108 26.0476838251229 56 152.757938260387 258.321756186517
"Control" "120" 56.4124101778567 3.69502232486113 57 49.4779615683418 64.3187374984942
"Patient" "120" 54.5272805194369 6.99269430369174 56 42.173889212574 70.499173217321
"Control" "121" 72.815414744364 4.76942187412618 57 63.8646404389699 83.0206603834324
"Patient" "121" 85.8030111707071 11.1167420947158 56 66.1888358683188 111.229584708324
"Control" "122" 78.0434458520898 5.11185878822384 57 68.45002017032 88.9814119165015
"Patient" "122" 87.3391388065957 11.3155813345953 56 67.3740950469099 113.22044714911
"Control" "123" 66.4114619108567 4.34996188983262 57 58.2478881821035 75.7191790258292
"Patient" "123" 71.3238560396986 9.35234473189059 56 54.8474559455091 92.7498341112789
"Control" "128" 104.755238049698 6.86148565571688 57 91.878287525108 119.436922415975
"Patient" "128" 114.907312944244 14.8875043144439 56 88.6400683500353 148.958488117649
"Control" "129" 128.197285220895 8.39694367576831 57 112.438740541792 146.164425702536
"Patient" "129" 153.599207072333 20.1403760865508 56 118.117027540968 199.740180602383
"Control" "132" 66.5983814254401 4.36220514937708 57 58.4118307707958 75.9322957346159
"Patient" "132" 72.3681563563712 9.37610602596779 56 55.8251273214053 93.8134905500177
"Control" "133" 67.3440308111077 4.41104530915533 57 59.0658218257995 76.7824495740187
"Patient" "133" 70.2036688531667 9.20544357739985 56 53.9860667425429 91.293095011888
"Control" "134" 136.592366451387 8.94682290390073 57 119.801863393232 155.736096621048
"Patient" "134" 158.907715756942 20.8370177729805 56 122.198359290635 206.644854101771
"Control" "135" 152.05189198558 9.95942441836366 57 133.361039607013 173.362309745963
"Patient" "135" 171.46339012273 22.2146471131863 56 132.268196997444 222.273341738738
"Control" "138" 92.8294319173983 6.08034335454798 57 81.4184511943242 105.839687487295
"Patient" "138" 101.530290017585 13.020460105379 56 78.528163556512 131.270098830678
"Control" "139" 96.8182911807276 6.34161430507569 57 84.9169832497761 110.387594429538
"Patient" "139" 112.58266254229 14.4378398400649 56 87.0765732690935 145.559884010846
"Control" "142" 79.8163927113699 5.22798710476229 57 70.0050290112755 91.0028413020089
"Patient" "142" 88.3809485721515 11.4505912443812 56 68.1777027712867 114.5710658031
"Control" "143" 82.1070403700643 5.37802491046112 57 72.0141007113883 93.6145284289478
"Patient" "143" 91.779099315761 11.7699466921793 56 70.9861472954439 118.662631966124
"Control" "144" 89.5969397651535 5.86861457661013 57 78.5833104518088 102.154154223415
"Patient" "144" 102.452009617838 13.1386633852215 56 79.2410635936277 132.461804507855
"Control" "145" 116.674018920642 7.642167801089 57 102.331962168946 133.026147476974
"Patient" "145" 133.04291833343 17.0617065130375 56 102.901469592116 172.013268506633
"Control" "146" 46.3705688466674 3.03728003403409 57 40.6705052321649 52.8695093136679
"Patient" "146" 50.5452549205016 6.54869286751805 56 38.9908591204913 65.5236343237132
"Control" "147" 58.0460901879201 3.80202863942617 57 50.9108228217084 66.1813814697855
"Patient" "147" 62.6963533043713 8.04031355382637 56 48.492223215651 81.0610950994274
"Control" "152" 80.6635371724867 5.28347520899931 57 70.7480389439803 91.9687149820394
"Patient" "152" 90.827115304778 11.9097034697717 56 69.845312343784 118.111933324637
"Control" "153" 93.781822228502 6.14272507960481 57 82.253769718427 106.925557462055
"Patient" "153" 110.291421248288 14.4619601527485 56 84.8132051764206 143.423392332179
"Control" "154" 83.4308143121994 5.46473232561738 57 73.1751508425143 95.1238322935246
"Patient" "154" 93.742560735609 12.2919998632775 56 72.0872527828525 121.903212482522
"Control" "155" 96.0335212283093 6.29021174161631 57 84.2286804911575 109.492837187166
"Patient" "155" 108.378361259146 14.0416873934893 56 83.6034784422538 140.494981884409
"Control" "156" 90.6038733189841 5.93456889321047 57 79.4664675358835 103.302211800162
"Patient" "156" 89.5344599197488 11.6001725581508 56 69.0673242948511 116.066744947273
"Control" "157" 96.4755881892857 6.31916720167802 57 84.6164067385713 109.996860836043
"Patient" "157" 118.973530423734 15.4141751831084 56 91.7770038745201 154.229276876808
"Control" "160" 126.968944883586 8.3164871777286 57 111.36139291898 144.763930679098
"Patient" "160" 145.351365039306 19.0590653781067 56 111.774215477158 189.015142970134
"Control" "161" 123.875844373368 8.11388857571426 57 108.648509216811 141.23732511224
"Patient" "161" 140.186640035569 18.1624586807969 56 108.141067940872 181.728314863761
"Control" "162" 97.5037865264246 6.38651436515034 57 85.5182146501495 111.169163503742
"Patient" "162" 109.764657547304 14.0764528923114 56 84.8969994974532 141.916441308839
"Control" "163" 94.9977284557064 6.22236714134782 57 83.3202116837792 108.311875706636
"Patient" "163" 111.298166779771 14.273113374411 56 86.0830855787763 143.899139363467
"Control" "166" 105.793636087551 6.92950090129592 57 92.7890413476716 120.620854295591
"Patient" "166" 119.848755689822 15.5278114777099 56 92.4517841590764 155.364489404378
"Control" "167" 117.826907235602 7.71768217901439 57 103.343132646512 134.340615705884
"Patient" "167" 135.825566562781 17.5977946479347 56 104.776356591017 176.075835544773
"Control" "168" 122.278022592197 8.00923098115375 57 107.247098349369 139.415564982004
"Patient" "168" 144.505087439428 18.948482475744 56 111.122841455965 187.915643825141
"Control" "169" 135.655486792612 8.88545712917194 57 118.980148887419 154.667911151744
"Patient" "169" 161.484285641326 20.9221825426436 56 124.56958969047 209.338206651285
"Control" "170" 46.1430643379751 3.02237845057092 57 40.4709665260147 52.6101195317358
"Patient" "170" 42.9411499888737 5.50686430830037 56 33.2126466795962 55.5192839690116
"Control" "171" 58.8951258764197 3.85764061937385 57 51.6554915042428 67.149411437009
"Patient" "171" 63.0111048798646 8.26233475719268 56 48.4550189918592 81.9398985035658
"Control" "176" 72.676317505057 4.76031098163029 57 63.7426416121338 82.8620683503401
"Patient" "176" 77.9391639447181 9.99508397556065 56 60.2817091593904 100.768763213732
"Control" "177" 82.0868528399861 5.37670262385631 57 71.9963947166573 93.5915115707112
"Patient" "177" 94.0017221363684 12.0549805649281 56 72.7052253001542 121.536295749355
"Control" "178" 59.4376381786205 3.89317526612664 57 52.1313159328395 67.7679580696549
"Patient" "178" 66.3170155996675 8.50463497911518 56 51.2926088036236 85.7423059701312
"Control" "179" 74.5106026354809 4.88045696521275 57 65.3514487682605 84.9534327049059
"Patient" "179" 93.7148302189922 12.0181889359068 56 72.4833299878601 121.165368705404
