"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"(Intercept)" 1.90834628614375 0.0250947107812677 4680 76.0457573222269 0
"ParticipantTypePatient" 0.0475090804628194 0.0551779613548504 56 0.861015508660927 0.392901161567298
"SegID1" -0.211304858811467 0.0133959309689976 4680 -15.7738091738822 1.1795248896749e-54
"SegID2" -0.261135819703446 0.0133959309689977 4680 -19.4936671671266 1.95125084139598e-81
"SegID3" -0.26090644199174 0.0133959309689986 4680 -19.4765442279107 2.65882737501071e-81
"SegID4" -0.056659797393255 0.0133959309689984 4680 -4.22962745361859 2.38550502937726e-05
"SegID5" -0.0486106838364417 0.0133959309689978 4680 -3.62876488009243 0.000287820202021038
"SegID6" -0.211661922019841 0.0133959309689976 4680 -15.8004637758803 7.8977972607111e-55
"SegID7" -0.148558052477119 0.0133959309689974 4680 -11.0897893413255 3.15148530520257e-28
"SegID8" 0.00253980655673544 0.0133959309689986 4680 0.189595375089134 0.849634433701929
"SegID9" 0.00828065428273902 0.0133959309689978 4680 0.618146980743847 0.536508535742145
"SegID10" -0.222943901302973 0.0133959309689984 4680 -16.6426582683146 1.81613175790858e-60
"SegID11" -0.165057709829372 0.0133959309689985 4680 -12.3214810684944 2.35370875392337e-34
"SegID12" -0.160452514975606 0.0133959309689981 4680 -11.977705420171 1.38663880987852e-32
"SegID13" -0.14866354555895 0.013395930968998 4680 -11.0976643506897 2.89234797185772e-28
"SegID14" -0.185831930888551 0.0133959309689977 4680 -13.872266983058 6.52863751181255e-43
"SegID15" -0.14830449774833 0.0133959309689984 4680 -11.070861599059 3.87240591045872e-28
"SegID16" -0.217480936908267 0.0133959309689974 4680 -16.234850523759 1.0513420759459e-57
"SegID17" -0.138415733899635 0.0133959309689977 4680 -10.3326699891162 9.23827855584092e-25
"SegID18" 0.00746462994996994 0.0133959309689981 4680 0.557231144833841 0.577396161236303
"SegID19" -0.0538331812644689 0.0133959309689977 4680 -4.01862187772207 5.94591167004737e-05
"SegID20" -0.0233253470635288 0.0133959309689988 4680 -1.74122628113782 0.0817096327606206
"SegID21" -0.0259780744744651 0.0133959309689986 4680 -1.93925114533544 0.0525307914202485
"SegID22" -0.0417637265380171 0.0133959309689982 4680 -3.11764271066115 0.00183409708950042
"SegID23" 0.0350536936462035 0.013395930968998 4680 2.61674188433247 0.0089058892769733
"SegID24" 0.104136105367768 0.0133959309689987 4680 7.77371170460371 9.30739640119899e-15
"SegID25" 0.301454045642343 0.013395930968998 4680 22.5034039321338 1.4432351907818e-106
"SegID26" 0.336136165905988 0.0133959309689983 4680 25.0924080367311 1.79568855090909e-130
"SegID27" 0.0640736516550441 0.0133959309689979 4680 4.78306821700778 1.77944664807648e-06
"SegID28" 0.0293122663478228 0.0133959309689981 4680 2.18814701387006 0.0287081711860585
"SegID29" 0.253916337555878 0.0133959309689987 4680 18.9547361914226 2.96266179088311e-77
"SegID30" 0.304879222384564 0.0133959309689986 4680 22.7590917786996 7.75846878607769e-109
"SegID31" -0.156971631116411 0.0133959309689978 4680 -11.7178590632999 2.81294958602373e-31
"SegID32" -0.0461229586196844 0.0133959309689981 4680 -3.44305735274582 0.000580219555575055
"SegID33" -0.0160098495946489 0.0133959309689984 4680 -1.19512780647346 0.232097657626618
"SegID34" -0.0861032457056922 0.0133959309689985 4680 -6.42756713997379 1.42583297510072e-10
"SegID35" 0.111829461954764 0.0133959309689985 4680 8.34801718623099 9.04125434035436e-17
"SegID36" 0.199532542267838 0.0133959309689986 4680 14.8950112336054 4.65049180115617e-49
"SegID37" -0.0848826117263327 0.013395930968998 4680 -6.33644738262502 2.57227974111353e-10
"SegID38" -0.0800471790422095 0.0133959309689984 4680 -5.97548458763029 2.4641502648997e-09
"SegID39" 0.227080143065049 0.0133959309689985 4680 16.9514267870273 1.34069049772921e-62
"SegID40" 0.273645542307362 0.0133959309689979 4680 20.4275121259328 6.48326258977143e-89
"SegID41" 0.0593394065922895 0.0133959309689983 4680 4.42965903076212 9.65360600965131e-06
"SegID42" 0.077611127036868 0.0133959309689979 4680 5.79363444141978 7.33898858598676e-09
"SegID43" -0.00625419011930043 0.0133959309689981 4680 -0.466872375930748 0.6406129233247
"SegID44" 0.0060341116916081 0.0133959309689983 4680 0.450443623931223 0.652411461350558
"SegID45" 0.0439468901946654 0.0133959309689978 4680 3.28061485956979 0.00104339652735327
"SegID46" 0.158627871567345 0.0133959309689981 4680 11.8414966406183 6.76863905347661e-32
"SegID47" -0.242103862547855 0.0133959309689977 4680 -18.0729404405082 1.24971946252286e-70
"SegID48" -0.144573313869278 0.0133959309689981 4680 -10.7923304624263 7.72680676983202e-27
"SegID49" -0.00166902383031579 0.0133959309689983 4680 -0.124591850628251 0.900852031333102
"SegID50" 0.0637723809037195 0.0133959309689981 4680 4.76057849591091 1.98862981846047e-06
"SegID51" 0.0129801963177959 0.013395930968998 4680 0.968965602154551 0.332612423971674
"SegID52" 0.0740765671393647 0.0133959309689981 4680 5.52978119331894 3.38064160930346e-08
"SegID53" 0.0488004780353186 0.0133959309689982 4680 3.642932928533 0.000272468749752203
"SegID54" 0.0760711489004824 0.0133959309689979 4680 5.67867579166639 1.43946089702483e-08
"SegID55" 0.195351224458279 0.0133959309689979 4680 14.5828778089689 3.8507709773708e-47
"SegID56" 0.18464034163571 0.013395930968998 4680 13.783315400999 2.14137999373839e-42
"SegID57" 0.0806751955609387 0.0133959309689983 4680 6.02236572789469 1.85036906186695e-09
"SegID58" 0.0693669346088132 0.013395930968998 4680 5.17820932112505 2.33419636710659e-07
"SegID59" 0.116113257782392 0.0133959309689979 4680 8.66780054712969 5.98408705453266e-18
"SegID60" 0.16289819216438 0.0133959309689983 4680 12.1602740818364 1.61299287926479e-33
"SegID61" 0.179002120813788 0.0133959309689982 4680 13.3624248458765 5.37672023257632e-40
"SegID62" 0.224091078010362 0.0133959309689982 4680 16.7282944745662 4.69188517061466e-61
"SegID63" -0.244239853720219 0.013395930968998 4680 -18.2323911854622 8.29685079360441e-72
"SegID64" -0.138266931807677 0.0133959309689984 4680 -10.3215619823409 1.03454387627054e-24
"SegID65" -0.0469533725676152 0.0133959309689984 4680 -3.50504736671735 0.000460804258365868
"SegID66" 0.00592731925506841 0.0133959309689983 4680 0.442471618343345 0.658168411434931
"SegID67" -0.134284742227899 0.0133959309689983 4680 -10.0242933871986 2.05049578208452e-23
