"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"1" "Control" "35" 0.241907230858394 0.0164216165950501 57 0.211160616308462 0.277130789654885
"2" "Patient" "35" 0.266898244514823 0.0365931040141481 56 0.202798527066216 0.351258334839066
"3" "Control" "36" 0.373378691570721 0.0253464176989612 57 0.325921942675095 0.427745509169476
"4" "Patient" "36" 0.440381026920562 0.0585307313591048 56 0.337441112256822 0.574723831291803
"5" "Control" "37" 0.346545641683452 0.0235248844783094 57 0.302499396224021 0.397005360238333
"6" "Patient" "37" 0.465279419277563 0.0618399591078833 56 0.356519457364249 0.607217736736561
"7" "Control" "38" 0.238935889250116 0.016219910211612 57 0.208566934742844 0.273726797788605
"8" "Patient" "38" 0.268237198249633 0.0409728969306669 56 0.197527761685459 0.364258643498363
"9" "Control" "39" 0.247268890102043 0.0167855871638509 57 0.215840804107344 0.283273147842279
"10" "Patient" "39" 0.309862276469097 0.043329460177484 56 0.23416022702851 0.410038167442161
"11" "Control" "40" 0.341925738696922 0.0232112672487539 57 0.298466686831833 0.391712763740729
"12" "Patient" "40" 0.371396908452529 0.0509213610422473 56 0.282198769070903 0.488789033567469
"13" "Control" "41" 0.318338058906001 0.0216100425457184 57 0.277877021180816 0.364690535825552
"14" "Patient" "41" 0.368765908172258 0.0505604444777517 56 0.280199937843748 0.485325928608676
"15" "Control" "44" 0.466208708105699 0.0316480852210127 57 0.406953185246447 0.534092292168594
"16" "Patient" "44" 0.586721379449321 0.0864563877847292 56 0.436750597974046 0.788188908497775
"17" "Control" "45" 0.413885260417571 0.0280961632969892 57 0.361280092209902 0.47415014689322
"18" "Patient" "45" 0.506408668390748 0.0746213309551032 56 0.37696732130869 0.680297004342426
"19" "Control" "47" 0.228855972463455 0.0155356457181812 57 0.199768183942975 0.262179167365031
"20" "Patient" "47" 0.244569990345811 0.0325056247393958 56 0.187401283256959 0.31917860506715
"21" "Control" "48" 0.223140074315136 0.0151476280158787 57 0.194778781305144 0.255630990355979
"22" "Patient" "48" 0.247520326265665 0.0333737898896371 56 0.188932669628699 0.324275902283418
"23" "Control" "57" 0.412715006451478 0.0280167218438264 57 0.360258578517066 0.472809494922754
"24" "Patient" "57" 0.436856266876371 0.0580622579902714 56 0.334740271673232 0.570123806601488
"25" "Control" "58" 0.369398303165472 0.0250762132405893 57 0.322447465017619 0.42318554550917
"26" "Patient" "58" 0.386915180228749 0.0514246234246001 56 0.296473010380144 0.504947672975334
"27" "Control" "59" 0.240190962176529 0.0163051095102158 57 0.209662486834087 0.275164619014275
"28" "Patient" "59" 0.283506288979001 0.0376806206999466 56 0.217236146965375 0.369992825841528
"29" "Control" "60" 0.237851916171055 0.0161463258452393 57 0.207620735563001 0.272484989867863
"30" "Patient" "60" 0.293984031808693 0.0390732101016809 56 0.225264697194062 0.383666912903087
"31" "Control" "61" 0.252910408777833 0.0171685556943031 57 0.220765280966793 0.289736115153867
"32" "Patient" "61" 0.249617462383639 0.0331764806842002 56 0.191268898967926 0.325765860853812
"33" "Control" "62" 0.258912442754192 0.017575997424757 57 0.226004451325839 0.296612091574669
"34" "Patient" "62" 0.321241717166693 0.0426960098174552 56 0.246150846011752 0.419239838173373
"35" "Control" "71" 0.214213762150416 0.0145416747524866 57 0.186987010999744 0.245404938285783
"36" "Patient" "71" 0.259363180446699 0.0349708118062041 56 0.197972003160275 0.339791780138564
"37" "Control" "100" 0.363350229442032 0.0246656461505832 57 0.317168106602458 0.416256825598977
"38" "Patient" "100" 0.430241853589921 0.0571831409904441 56 0.329671990253587 0.561491597870066
"39" "Control" "101" 0.277898888345231 0.0188648722090807 57 0.242577703552672 0.318363110098231
"40" "Patient" "101" 0.332599144410534 0.0448461009191369 56 0.253872064768992 0.435739910821929
"41" "Control" "102" 0.375672125331864 0.0255021050249586 57 0.327923879056852 0.430372884576949
"42" "Patient" "102" 0.449196380426521 0.0605666619944624 56 0.34287174876643 0.588492312108636
"43" "Control" "103" 0.351979337278106 0.0238937451586327 57 0.307242464492499 0.4032302438251
"44" "Patient" "103" 0.430941024952751 0.0572760673626309 56 0.330207728961453 0.562404058716039
"45" "Control" "106" 0.356022272126663 0.0241681955161775 57 0.310771538887203 0.407861861173321
"46" "Patient" "106" 0.478198994560272 0.0635570907369043 56 0.366419056999066 0.624078562592442
"47" "Control" "107" 0.406903522256995 0.0276222153838448 57 0.355185738900741 0.466151813801902
"48" "Patient" "107" 0.546953265139208 0.0726951722959284 56 0.419101884183508 0.713807037229764
"49" "Control" "108" 0.551100520358926 0.0374108761385666 57 0.481055176044014 0.631345007110142
"50" "Patient" "108" 0.747779750451646 0.102528583194516 56 0.568182576524182 0.984145903604151
"51" "Control" "109" 0.43683749333156 0.0296542513606508 57 0.381315076821875 0.500444401964579
"52" "Patient" "109" 0.499593565754915 0.067361747771961 56 0.381340146182838 0.654517321195026
"53" "Control" "112" 0.401151373368725 0.0272317368383885 57 0.350164693022803 0.459562107665535
"54" "Patient" "112" 0.528412749617644 0.0712476720521832 56 0.403337630102556 0.692273701036727
"55" "Control" "113" 0.418311347018933 0.0283966235061618 57 0.365143619444129 0.479220705844946
"56" "Patient" "113" 0.517526401470329 0.0687840686223933 56 0.396553606670072 0.675403203284096
"57" "Control" "114" 0.325368485068263 0.02208729559238 57 0.284013874205285 0.372744646267166
"58" "Patient" "114" 0.514283649472019 0.0693435832078281 56 0.392551376521997 0.673765748722161
"59" "Control" "115" 0.232476414001581 0.0157814155640554 57 0.202928464285926 0.266326773117864
"60" "Patient" "115" 0.331280229362385 0.0454214981862621 56 0.251716213663491 0.43599333062077
"61" "Control" "120" 0.344805582970506 0.023406762432368 57 0.300980500451725 0.395011935554607
"62" "Patient" "120" 0.535424373270641 0.0711628754175964 56 0.41026789303175 0.698761137201818
"63" "Control" "121" 0.269311770005655 0.018281944759874 57 0.235082015249084 0.308525641090535
"64" "Patient" "121" 0.405701888137651 0.0547029303119559 56 0.309671199559831 0.531512204791436
"65" "Control" "122" 0.44236786587592 0.0300296748534873 57 0.386142534317621 0.506780039410659
"66" "Patient" "122" 0.475476038607345 0.0641095002039927 56 0.362931841347068 0.622919891654087
"67" "Control" "123" 0.407000947676489 0.0276288290054378 57 0.355270781466651 0.466263425113977
"68" "Patient" "123" 0.448873785684974 0.0615444298736709 56 0.341067476141401 0.590756051426101
"69" "Control" "128" 0.378845731736196 0.0257175419402198 57 0.330694117391114 0.434008592553785
"70" "Patient" "128" 0.45420630040961 0.0612428853913632 56 0.34669472297812 0.595057696753015
"71" "Control" "129" 0.500388559078519 0.033968348265486 57 0.436788748123758 0.573248993093869
"72" "Patient" "129" 0.587207822408425 0.080509393336296 56 0.446180499025594 0.772810616893109
