"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"1" "(Intercept)" -0.468412914894036 0.0244343626482151 4680 -19.1702530423175 6.47891025300173e-79
"2" "ParticipantTypePatient" 0.0999170122182059 0.0537304496290363 56 1.85959754493121 0.0681984680151199
"3" "SegID1" -0.147938235036909 0.0164963008318266 4680 -8.96796418452127 4.28656806702279e-19
"4" "SegID2" 0.0405624443686055 0.0164963008318268 4680 2.45888122325869 0.0139730164044614
"5" "SegID3" 0.00817335622538276 0.0164963008318279 4680 0.495466002269619 0.620294477763593
"6" "SegID4" -0.153305697463057 0.0164963008318276 4680 -9.29333788380442 2.23670219550413e-20
"7" "SegID5" -0.138417605650884 0.0164963008318268 4680 -8.39082695338768 6.32105105574254e-17
"8" "SegID6" 0.00234470873921697 0.0164963008318267 4680 0.142135425579368 0.886979154871454
"9" "SegID7" -0.0286985213050201 0.0164963008318264 4680 -1.73969434708974 0.0819784433785836
"10" "SegID8" 0.136993296148376 0.0164963008318279 4680 8.3044858083615 1.29872913803998e-16
"11" "SegID9" 0.0852928751597459 0.0164963008318269 4680 5.17042432902213 2.43298967860785e-07
"12" "SegID10" -0.172024834394312 0.0164963008318276 4680 -10.4280854324874 3.47771876507846e-25
"13" "SegID11" -0.183009511724789 0.0164963008318277 4680 -11.0939727391303 3.01108083387205e-28
"14" "SegID12" 0.0840631751467466 0.0164963008318273 4680 5.09588034334089 3.60790914697902e-07
"15" "SegID13" 0.035907811067114 0.0164963008318271 4680 2.17671897676813 0.0295513644952746
"16" "SegID14" -0.15103042321604 0.0164963008318268 4680 -9.1554115529133 7.91626841104034e-20
"17" "SegID15" -0.155280430593838 0.0164963008318276 4680 -9.41304551710424 7.36101957077499e-21
"18" "SegID16" -0.128620381575112 0.0164963008318263 4680 -7.79692264868037 7.76450782452575e-15
"19" "SegID17" -0.118434162945966 0.0164963008318268 4680 -7.17943762988775 8.10282902342302e-13
"20" "SegID18" -0.200739716490657 0.0164963008318273 4680 -12.1687715650383 1.45823053542219e-33
"21" "SegID19" 0.0287383536640656 0.0164963008318268 4680 1.74210897079543 0.0815550710780154
"22" "SegID20" -0.0877002755955857 0.0164963008318281 4680 -5.31636010337397 1.10788369036296e-07
"23" "SegID21" 0.0432218867376505 0.0164963008318279 4680 2.62009569165097 0.00881890498046508
"24" "SegID22" 0.0149300841406548 0.0164963008318273 4680 0.905056490716347 0.365482049274284
"25" "SegID23" 0.0198900824150892 0.0164963008318271 4680 1.20572985530879 0.227982624647923
"26" "SegID24" 0.0779043641234729 0.0164963008318279 4680 4.72253536824234 2.39734037083697e-06
"27" "SegID25" 0.209643735988284 0.0164963008318271 4680 12.7085301199047 2.1055840708555e-36
"28" "SegID26" 0.108732821257845 0.0164963008318275 4680 6.59134568206095 4.84008017902632e-11
"29" "SegID27" 0.0717211982714826 0.016496300831827 4680 4.34771401192611 1.40485167033018e-05
"30" "SegID28" 0.0899125602082798 0.0164963008318273 4680 5.4504680246135 5.2816735458631e-08
"31" "SegID29" -0.0192115998848842 0.0164963008318279 4680 -1.16460048108588 0.244240109857951
"32" "SegID30" -0.165208187185643 0.0164963008318279 4680 -10.0148626573838 2.25126600769566e-23
"33" "SegID31" 0.0059872040468665 0.0164963008318269 4680 0.362942220071253 0.716664437659056
"34" "SegID32" -0.1013317508671 0.0164963008318273 4680 -6.14269537759608 8.78567211973978e-10
"35" "SegID33" 0.114196486672515 0.0164963008318276 4680 6.92255117293857 5.03595961253913e-12
"36" "SegID34" 0.0780083353482254 0.0164963008318278 4680 4.72883806760587 2.32446156717187e-06
"37" "SegID35" 0.0468753135301369 0.0164963008318278 4680 2.8415651489391 0.00450868207397036
"38" "SegID36" 0.167720286287381 0.0164963008318279 4680 10.1671452283279 4.93144437455132e-24
"39" "SegID37" 0.0774430085412675 0.0164963008318271 4680 4.69456815384047 2.74805184447966e-06
"40" "SegID38" 0.119754455524145 0.0164963008318277 4680 7.25947330525721 4.52758596969581e-13
"41" "SegID39" 0.0133161971243605 0.0164963008318278 4680 0.807223222958473 0.41957891084124
"42" "SegID40" -0.0174255449761942 0.0164963008318269 4680 -1.05633045576948 0.290871790780482
"43" "SegID41" 0.0941363913212563 0.0164963008318275 4680 5.70651519276564 1.22419889288391e-08
"44" "SegID42" 0.0366124218406317 0.016496300831827 4680 2.21943223598311 0.0265050957344488
"45" "SegID43" 0.108748211134803 0.0164963008318273 4680 6.59227861103191 4.81003234072685e-11
"46" "SegID44" 0.115319686269302 0.0164963008318275 4680 6.99063914055249 3.12199467525786e-12
"47" "SegID45" 0.0232574206954886 0.0164963008318269 4680 1.40985672682552 0.158648443352194
"48" "SegID46" 0.149075161314829 0.0164963008318272 4680 9.03688425875517 2.31232373410185e-19
"49" "SegID47" 0.125536286064774 0.0164963008318268 4680 7.60996585504633 3.29485909997953e-14
"50" "SegID48" -0.0403060161694781 0.0164963008318272 4680 -2.44333663530878 0.0145888587111604
"51" "SegID49" 0.0181784952884848 0.0164963008318275 4680 1.10197404095661 0.27052962494447
"52" "SegID50" -0.0249765290307435 0.0164963008318273 4680 -1.51406847422149 0.130076001779847
