"Model","AIC"
"log10(BicPyr) ~ SegID",-6487.73490286553
"log10(BicPyr) ~ ParticipantType + SegID",-6485.14800635694
"log10(BicPyr) ~ SegID + Sex",-6482.35152454076
"log10(BicPyr) ~ ParticipantType + SegID + Age",-6481.24894932147
"log10(BicPyr) ~ ParticipantType + SegID + Sex",-6480.38263809199
"log10(BicPyr) ~ ParticipantType + SegID + Sex + ParticipantType:Sex",-6479.03121200318
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age",-6477.82598178371
"log10(BicPyr) ~ SegID + Age",-6477.21257836461
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex",-6475.12402623813
"log10(BicPyr) ~ SegID + Sex + Age",-6471.96689315813
"log10(BicPyr) ~ ParticipantType + SegID + Age + ParticipantType:Age",-6470.62611314244
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + Sex:Age",-6468.8578956774
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age",-6466.84370742503
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-6465.99163883977
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      Sex:Age",-6464.83881860424
"log10(BicPyr) ~ SegID + Sex + Age + Sex:Age",-6463.76791387189
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      Sex:Age",-6458.04266994827
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-6455.16694786182
"log10(BicPyr) ~ ParticipantType + SegID + ParticipantType:SegID",-6057.83970067168
"log10(BicPyr) ~ ParticipantType + SegID + Age + ParticipantType:SegID",-6053.9448268079
"log10(BicPyr) ~ ParticipantType + SegID + Sex + ParticipantType:SegID",-6053.06236523052
"log10(BicPyr) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex",-6051.74568126783
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID",-6050.50331155011
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex",-6047.83121639287
"log10(BicPyr) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age",-6043.31556731667
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      Sex:Age",-6041.55521652029
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age",-6039.51936907904
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age",-6038.7045438525
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + Sex:Age",-6037.54707364865
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + Sex:Age",-6030.73665093078
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + Sex:Age",-6027.87991495979
"log10(BicPyr) ~ SegID + Sex + SegID:Sex",-5972.85577767939
"log10(BicPyr) ~ ParticipantType + SegID + Sex + SegID:Sex",-5970.90510603002
"log10(BicPyr) ~ ParticipantType + SegID + Sex + ParticipantType:Sex +      SegID:Sex",-5969.54336391902
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + SegID:Sex",-5968.34755118821
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex",-5965.63683300119
"log10(BicPyr) ~ SegID + Sex + Age + SegID:Sex",-5962.46175831086
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      Sex:Age",-5959.37383263382
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex",-5957.36631169414
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex",-5956.5052282081
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + Sex:Age",-5955.35153869565
"log10(BicPyr) ~ SegID + Sex + Age + SegID:Sex + Sex:Age",-5954.25742955985
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + Sex:Age",-5948.56052027778
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + Sex:Age",-5945.68028160663
"log10(BicPyr) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      SegID:Sex",-5539.60420140278
"log10(BicPyr) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex",-5538.27433993533
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex",-5537.0435570463
