"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"1" "Control" "35" 4.79627934555974 0.213218139701282 57 4.38776975917881 5.24282193989785
"2" "Patient" "35" 5.58892767222904 0.509791232963142 56 4.65556297010887 6.7094168258403
"3" "Control" "36" 4.29899021931976 0.191111199143552 57 3.93283583384264 4.69923426418475
"4" "Patient" "36" 5.46380780605278 0.475557885723311 56 4.58957879767519 6.50456110626211
"5" "Control" "37" 4.39139256841501 0.195218936737358 57 4.01736807306939 4.80023944512427
"6" "Patient" "37" 4.96182769513501 0.43186663436583 56 4.16791731987383 5.90696316330816
"7" "Control" "38" 3.64526991519137 0.162050125530266 57 3.33479431566643 3.98465137480114
"8" "Patient" "38" 4.18952477467955 0.445349593310366 56 3.38597307971119 5.18377359312937
"9" "Control" "39" 3.74818225364166 0.166625083695907 57 3.42894138550227 4.09714504479826
"10" "Patient" "39" 4.19959972414801 0.394333844726346 56 3.47950137727471 5.06872563932647
"11" "Control" "40" 3.98252384110548 0.177042716559584 57 3.64332358818686 4.35330427316413
"12" "Patient" "40" 4.82175876294137 0.439826464754718 56 4.01649287092702 5.78847226053606
"13" "Control" "41" 4.25098750619046 0.18897724312126 57 3.88892161662295 4.64676240851564
"14" "Patient" "41" 5.22711518320059 0.476799291294231 56 4.35415636583287 6.27509231245071
"15" "Control" "44" 3.32151285084798 0.147657536191543 57 3.03861234754117 3.63075192111152
"16" "Patient" "44" 3.8409039334308 0.388598968090449 56 3.13626373746644 4.70385919704626
"17" "Control" "45" 3.48548254287 0.154946793172097 57 3.18861638280282 3.80998749870713
"18" "Patient" "45" 4.07979104181578 0.412763748066163 56 3.33133247158687 4.9964076197269
"19" "Control" "47" 4.4809743800484 0.19920128760798 57 4.09932000616965 4.8981614912791
"20" "Patient" "47" 5.79755309586981 0.5046063460699 56 4.86992363415926 6.90187863802764
"21" "Control" "48" 4.56143144294835 0.202777998646139 57 4.17292436531349 4.98610925749545
"22" "Patient" "48" 5.51337942593433 0.490472930914682 56 4.61341556778854 6.58890408801544
"23" "Control" "57" 3.96122797793231 0.176096010998469 57 3.62384154018785 4.33002572522537
"24" "Patient" "57" 4.83043002119017 0.420430068105039 56 4.05754374894899 5.75053668753644
"25" "Control" "58" 4.6652962930438 0.207395300625889 57 4.26794281929749 5.0996441197567
"26" "Patient" "58" 6.33273799740418 0.551187669805843 56 5.31947701599618 7.5390062638059
"27" "Control" "59" 5.01225004083706 0.222819096309379 57 4.58534575868432 5.47889991159131
"28" "Patient" "59" 6.11803782643102 0.53250063633089 56 5.13912964882413 7.28340972176195
"29" "Control" "60" 4.78840859813829 0.212868246377246 57 4.38056938050403 5.23421841114328
"30" "Patient" "60" 5.30887958394702 0.462073271996256 56 4.45943965139146 6.32012195255413
"31" "Control" "61" 5.12540980651729 0.2278496028727 57 4.68886745999373 5.60259506349509
"32" "Patient" "61" 7.19860305187286 0.626550671075524 56 6.04680053042049 8.56980243316042
"33" "Control" "62" 4.96120622727869 0.220549948458295 57 4.5386494582005 5.42310382334477
"34" "Patient" "62" 5.50752900177873 0.47936328301011 56 4.62630444397089 6.55661037287857
"35" "Control" "71" 3.90473850943141 0.173584777077612 57 3.57216340308563 4.26827698135708
"36" "Patient" "71" 4.72577749009232 0.420411423263024 56 3.95436941513304 5.64766984096046
"37" "Control" "100" 3.90145496848014 0.173438807578583 57 3.56915952848807 4.26468773659056
"38" "Patient" "100" 4.85522883318266 0.422588502482348 56 4.07837466133982 5.78005920986768
"39" "Control" "101" 3.93250045842881 0.174818931865783 57 3.59756080625804 4.29862361982649
"40" "Patient" "101" 4.67765802864587 0.41613946744781 56 3.91408991468812 5.59018446429805
"41" "Control" "102" 3.89546307041426 0.173172438322997 57 3.56367797346606 4.25813798158713
"42" "Patient" "102" 4.54238530467629 0.404096611605534 56 3.80091308958576 5.42850198618664
"43" "Control" "103" 4.43470635944935 0.197144447176254 57 4.05699273392903 4.84758583126527
"44" "Patient" "103" 5.36566061385993 0.467015368697508 56 4.50713551117441 6.38771870775768
"45" "Control" "106" 3.76081456203691 0.167186651757757 57 3.44049777260399 4.11095344477552
"46" "Patient" "106" 3.78749852392257 0.329655590780744 56 3.18148506291972 4.50894622637353
"47" "Control" "107" 3.16783947535256 0.140826000977673 57 2.89802766904158 3.46277126640436
"48" "Patient" "107" 3.50306524137759 0.304899139734536 56 2.94256213421139 4.17033371791029
"49" "Control" "108" 2.45845079107246 0.109290194847575 57 2.2490591682245 2.68733716636551
"50" "Patient" "108" 2.82523942515565 0.257718218871485 56 2.35339173957384 3.39169109639996
"51" "Control" "109" 2.4378171143801 0.108372926723147 57 2.23018290683759 2.66478245570972
"52" "Patient" "109" 2.7097194667707 0.241059502805318 56 2.26740204781461 3.23832272960725
"53" "Control" "112" 3.51964649776153 0.156465548520147 57 3.21987051904611 3.84733218181546
"54" "Patient" "112" 4.03961654268184 0.359369636785962 56 3.38021333817273 4.82765440501169
"55" "Control" "113" 3.65289095420094 0.162388918090735 57 3.34176625414009 3.9929819468228
"56" "Patient" "113" 3.97088821798309 0.345617428800422 56 3.3355317427169 4.727268230664
"57" "Control" "114" 2.75389589662055 0.122424178765161 57 2.5193405689151 3.01028876484507
"58" "Patient" "114" 3.02830078444052 0.269407354704313 56 2.53396923982749 3.61906746810683
"59" "Control" "115" 2.80060957103591 0.124500830694677 57 2.56207553766324 3.06135156988057
"60" "Patient" "115" 2.98685745966895 0.272456114777494 56 2.48802585856353 3.58570127142118
"61" "Control" "120" 3.3838276379128 0.150427734092156 57 3.0956196481034 3.69886833161749
"62" "Patient" "120" 3.63535511977871 0.316413361520552 56 3.05368515365292 4.32782234641712
"63" "Control" "121" 3.46264284003555 0.153931456366456 57 3.16772198733806 3.78502137674177
"64" "Patient" "121" 3.79827013563012 0.337906298789787 56 3.17825089822452 4.53924390653959
"65" "Control" "122" 3.26451465866764 0.145123687008158 57 2.98646881586629 3.568447090436
"66" "Patient" "122" 4.15194076941391 0.369357535669061 56 3.47421015253219 4.96187950523286
"67" "Control" "123" 3.32867288773413 0.147975834946695 57 3.04516254844903 3.63857857084824
"68" "Patient" "123" 4.07403764742156 0.371625070918014 56 3.39364033465871 4.89084909296298
"69" "Control" "128" 3.28278636147928 0.145935953809566 57 3.00318427784618 3.58841992301691
"70" "Patient" "128" 3.66754414918677 0.326275294829742 56 3.06886627730739 4.38301277109924
"71" "Control" "129" 2.58069364673958 0.114724489307772 57 2.36089033291018 2.82096106095387
"72" "Patient" "129" 3.0266324019585 0.276073864629184 56 2.52117547748313 3.63342566925566
"73" "Control" "132" 3.52901287884528 0.156881930095641 57 3.22843914499787 3.85757059052884
"74" "Patient" "132" 3.94309742702654 0.350790599340304 56 3.299436978343 4.7123243817288
"75" "Control" "133" 3.25267522522321 0.144597366126436 57 2.97563777282428 3.55550538355317
"76" "Patient" "133" 4.07696705373584 0.371890930502459 56 3.39608276684531 4.89436256369207
"77" "Control" "134" 2.70806836195456 0.120386920093472 57 2.47741626545865 2.96019460083006
"78" "Patient" "134" 3.05005583941726 0.278225962512851 56 2.54066121044878 3.6615824988016
"79" "Control" "135" 2.7047012242077 0.120237234306888 57 2.47433591418714 2.95651397624962
"80" "Patient" "135" 3.14702357854134 0.279959951511203 56 2.63332774562159 3.76092851349856
"81" "Control" "138" 3.76895341789886 0.167548463816889 57 3.44794342433785 4.11985004336881
"82" "Patient" "138" 4.16319109284213 0.362355050589602 56 3.49706546215105 4.95620121015951
"83" "Control" "139" 3.71116057846227 0.164979288665708 57 3.39507292724896 4.05667658228846
"84" "Patient" "139" 4.01589003457921 0.349534288527892 56 3.37333310591229 4.78084205249902
"85" "Control" "142" 3.24074059170644 0.1440668131346 57 2.96471963810799 3.54245961329286
"86" "Patient" "142" 3.45853536165189 0.307673941126951 56 2.89398768481387 4.13321276747792
"87" "Control" "143" 3.07343256887632 0.13662915097717 57 2.81166160496369 3.35957490003555
"88" "Patient" "143" 3.51519205720085 0.30595463127051 56 2.9527486156473 4.18477046556811
"89" "Control" "144" 3.65833976970022 0.162631144662755 57 3.34675098212372 3.99893805725506
"90" "Patient" "144" 3.92872856298519 0.341947944604545 56 3.30011778498556 4.67707794910816
"91" "Control" "145" 2.73354044354491 0.121519279045007 57 2.50071883423187 2.98803818094604
"92" "Patient" "145" 3.27789019259227 0.285300395796407 56 2.75341590755867 3.90226702954562
"93" "Control" "146" 3.26792795008657 0.145275424551815 57 2.98959138980085 3.57217816568185
"94" "Patient" "146" 3.31362004395878 0.294789186664905 56 2.77271558161605 3.96004475487015
"95" "Control" "147" 3.8655639232963 0.17184327459673 57 3.53632540200443 4.22545516784748
"96" "Patient" "147" 4.50191919684862 0.39183720418914 56 3.78159584453431 5.35945068911772
"97" "Control" "152" 3.42040067003819 0.152053584738291 57 3.12907767521138 3.73884638156429
"98" "Patient" "152" 3.74764665714055 0.341851960560963 56 3.12175998090481 4.49901835909435
"99" "Control" "153" 3.28194870030468 0.145898715662141 57 3.00241796210318 3.58750427401735
"100" "Patient" "153" 3.68915998772898 0.336516937162496 56 3.07304104854826 4.42880560332571
"101" "Control" "154" 3.73314622066073 0.16595665828744 57 3.41518600428727 4.08070912897228
"102" "Patient" "154" 3.99124840059364 0.364073288793856 56 3.32467743413204 4.79146146080188
"103" "Control" "155" 3.36248142365522 0.149478790178397 57 3.07609153753179 3.675534744814
"104" "Patient" "155" 3.84362812939805 0.341944301333585 56 3.21620006702134 4.59345715106034
"105" "Control" "156" 2.59092255295524 0.11517921435553 57 2.37024802084471 2.83214229750512
"106" "Patient" "156" 3.00262535375359 0.267122202953288 56 2.51248664411192 3.58838087204664
"107" "Control" "157" 2.70632854186074 0.120309576557555 57 2.47582462964179 2.95829280022542
"108" "Patient" "157" 2.85380800640921 0.253877771320249 56 2.38797048814557 3.41051959304986
"109" "Control" "160" 2.77519075089033 0.123370839475572 57 2.53882169394123 3.03356620994965
"110" "Patient" "160" 3.29451352692098 0.300514044080296 56 2.74431055439915 3.95502592141643
"111" "Control" "161" 2.89905377300124 0.128877158280109 57 2.65213503195643 3.16896111151357
"112" "Patient" "161" 3.56325473950816 0.31698797266627 56 2.98161654531157 4.25835587697968
"113" "Control" "162" 3.435007187861 0.152702916091474 57 3.14244012401228 3.75481279356609
"114" "Patient" "162" 3.81086011164079 0.331688932299476 56 3.20110871211778 4.53675776005963
"115" "Control" "163" 3.17940429537236 0.141340113945857 57 2.90860748808406 3.47541279283815
"116" "Patient" "163" 3.48965096336476 0.30373159030441 56 2.93129418919224 4.15436427057099
"117" "Control" "166" 3.44431089127123 0.153116511336982 57 3.15095141068485 3.76498268919709
"118" "Patient" "166" 3.98031768000948 0.354104742278934 56 3.33057662142191 4.75681259872423
"119" "Control" "167" 3.34675396794979 0.148779627638824 57 3.06170362357573 3.6583430335123
"120" "Patient" "167" 3.72460006026305 0.331355095362239 56 3.11660196048201 4.45120865122155
"121" "Control" "168" 3.24688154758131 0.144339808740838 57 2.97033755535986 3.54917230366661
"122" "Patient" "168" 3.5333950579305 0.322317226658945 56 2.94327538037967 4.24183232008591
"123" "Control" "169" 3.17177881748195 0.141001124055365 57 2.90163148879875 3.46707736866753
"124" "Patient" "169" 3.43945487647947 0.305987456411491 56 2.87800344670248 4.11043630294908
"125" "Control" "170" 3.93298554450997 0.174840496321133 57 3.5980045764983 4.29915386833075
"126" "Patient" "170" 5.1649628646617 0.449547075399856 56 4.3385501276547 6.14879178721282
"127" "Control" "171" 4.30159497661325 0.19122699337998 57 3.93521873826895 4.70208152926307
"128" "Patient" "171" 5.37089000656142 0.489921191779973 56 4.47390783706133 6.44770981279958
"129" "Control" "176" 3.40326823552532 0.151291964000173 57 3.11340444756123 3.72011888529552
"130" "Patient" "176" 3.70989100867249 0.322900802329422 56 3.11629503077082 4.41655592950216
"131" "Control" "177" 3.02592664902952 0.134517279852751 57 2.76820186805768 3.30764609003444
"132" "Patient" "177" 3.30178376810563 0.287380040369724 56 2.77348642458074 3.93071188476207
"133" "Control" "178" 3.9662230103445 0.176318064686745 57 3.62841113478092 4.33548580451483
"134" "Patient" "178" 4.46637540230568 0.388743550022771 56 3.75173918565944 5.31713646582148
"135" "Control" "179" 4.22149027880918 0.187665946698464 57 3.86193673251625 4.61451893399328
"136" "Patient" "179" 4.61555444347733 0.401727767610959 56 3.87704904074996 5.49473132704623
"137" "Control" "182" 3.41788780961284 0.151941875768353 57 3.12677884059626 3.73609956912475
"138" "Patient" "182" 3.77679392805624 0.335986465702749 56 3.16029589781442 4.51355595685431
"139" "Control" "183" 2.98753348840975 0.132810515568435 57 2.73307873677413 3.26567845421988
"140" "Patient" "183" 3.56841332124022 0.310586893732972 56 2.99745428497007 4.24812938601057
"141" "Control" "190" 3.09862051456259 0.137748878694257 57 2.8347042383083 3.38710789066237
"142" "Patient" "190" 3.41904742762014 0.304161965201472 56 2.86094398135337 4.08602383986071
"143" "Control" "191" 3.11564937462968 0.138505895040292 57 2.85028271317442 3.40572216951038
"144" "Patient" "191" 3.33411314680154 0.304130357058751 56 2.77728984232339 4.0025748505872
"145" "Control" "192" 3.86565790914278 0.171847452728548 57 3.5364113828711 4.22555790395237
"146" "Patient" "192" 3.95220514769134 0.343991295209685 56 3.3198380312376 4.70502638455978
"147" "Control" "193" 3.38970746622983 0.15068912129778 57 3.1009986786018 3.70529558296846
"148" "Patient" "193" 3.85934729173464 0.335909150445616 56 3.24183776804674 4.59448084201751
"149" "Control" "194" 4.02952018095949 0.179131934354152 57 3.68631714714092 4.40467606032029
"150" "Patient" "194" 4.4520565775858 0.39606778088073 56 3.72531747126948 5.32056876303503
"151" "Control" "195" 3.1928271821752 0.141936827095222 57 2.92088711830387 3.49008537555413
"152" "Patient" "195" 3.61579091670522 0.314710536058939 56 3.03725129382351 4.30453152819948
"153" "Control" "196" 2.95859986280398 0.131524274008675 57 2.70660945124889 3.2340510538544
"154" "Patient" "196" 3.26026654511948 0.283766472051577 56 2.73861210741599 3.8812864065129
"155" "Control" "197" 2.78747690943254 0.123917019478801 57 2.55006141352884 3.04699623287394
"156" "Patient" "197" 3.12952403473411 0.278405760109681 56 2.61868038077671 3.74002140768074
"157" "Control" "198" 3.14832247161318 0.139958374442593 57 2.88017297113357 3.44143719304589
"158" "Patient" "198" 3.2562004763939 0.283412570319491 56 2.7351966243911 3.87644582766631
"159" "Control" "199" 3.22214612927631 0.143240198085214 57 2.94770890665119 3.52213397156819
"160" "Patient" "199" 3.46541177425781 0.308294150918189 56 2.89972742616042 4.14145090218569
"161" "Control" "200" 3.88691715896375 0.172792530646596 57 3.55585993595707 4.24879642976725
"162" "Patient" "200" 4.00648418115824 0.356422138031859 56 3.35248930814069 4.78805866879072
"163" "Control" "201" 3.40762467658946 0.151485629171129 57 3.11738984102598 3.72488091918584
"164" "Patient" "201" 3.58658260340146 0.319076518645253 56 3.00111426524602 4.28626624450351
"165" "Control" "202" 3.99394270614633 0.177550341113141 57 3.65376988355469 4.36578625593696
"166" "Patient" "202" 4.40441019798121 0.38335023411508 56 3.69968863811893 5.24336804784309
"167" "Control" "203" 3.64667109917321 0.162112415030201 57 3.33607615774851 3.98618301163723
"168" "Patient" "203" 4.36233251445559 0.388090286995039 56 3.65023193010057 5.21335228311154
"169" "Control" "204" 3.54813693524054 0.157732088194109 57 3.24593436374522 3.87847513240915
"170" "Patient" "204" 4.25453007040757 0.370304995499274 56 3.57378987298615 5.06493855635601
"171" "Control" "205" 2.89837167029452 0.128846835469503 57 2.65151102542687 3.16821550376673
"172" "Patient" "205" 3.32487519628494 0.289389867792848 56 2.79288314074312 3.95820179856482
