"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"1" "(Intercept)" 0.543419520144896 0.0139247624277848 4680 39.0254069297861 1.15206291440829e-288
"2" "ParticipantTypePatient" 0.0575765637258255 0.0306270744821827 56 1.87992371779814 0.0653241752694833
"3" "SegID1" 0.137484949257343 0.0133732080289579 4680 10.2806259320603 1.5684875412902e-24
"4" "SegID2" 0.0899469369050508 0.0133732080289581 4680 6.72590575950672 1.95454819488433e-11
"5" "SegID3" 0.0991827424379003 0.013373208028959 4680 7.41652580466295 1.41966041217851e-13
"6" "SegID4" 0.0183101711752668 0.0133732080289587 4680 1.36916820075014 0.171012405724239
"7" "SegID5" 0.030401179954113 0.0133732080289582 4680 2.27328999057539 0.0230538297012285
"8" "SegID6" 0.0567388642101459 0.013373208028958 4680 4.2427265086496 2.25089412408249e-05
"9" "SegID7" 0.0850703084165536 0.0133732080289578 4680 6.36124916567109 2.1923512654606e-10
"10" "SegID8" -0.0220835830898726 0.013373208028959 4680 -1.65133025987869 0.098738248522847
"11" "SegID9" -0.00115660824213584 0.0133732080289582 4680 -0.0864869700397491 0.931083013522378
"12" "SegID10" 0.107952940698427 0.0133732080289588 4680 8.0723294264669 8.69445907473267e-16
"13" "SegID11" 0.11568163177815 0.0133732080289588 4680 8.65025291819651 6.96290684798057e-18
"14" "SegID12" 0.0544103176415799 0.0133732080289585 4680 4.06860624045921 4.8074020653172e-05
"15" "SegID13" 0.12545971086317 0.0133732080289584 4680 9.38142221309197 9.88577763850919e-21
"16" "SegID14" 0.15661320790889 0.0133732080289581 4680 11.7109677475863 3.04415968438094e-31
"17" "SegID15" 0.136771681812015 0.0133732080289588 4680 10.2272903790807 2.69120197037247e-24
"18" "SegID16" 0.166309075357291 0.0133732080289578 4680 12.4359895544265 5.91331922948624e-35
"19" "SegID17" 0.152167760007121 0.0133732080289581 4680 11.3785532743991 1.3060343223959e-29
"20" "SegID18" 0.0481724354273289 0.0133732080289585 4680 3.60216002944213 0.000318860609587848
"21" "SegID19" 0.0478070784055296 0.0133732080289581 4680 3.57483995627743 0.00035397818686045
"22" "SegID20" 0.0512492617780419 0.0133732080289592 4680 3.8322339461903 0.000128650304031716
"23" "SegID21" 0.0471395713814867 0.013373208028959 4680 3.52492620165696 0.000427655411857043
"24" "SegID22" 0.103445348511519 0.0133732080289585 4680 7.73526802899624 1.25520103300115e-14
"25" "SegID23" 0.0318623996456038 0.0133732080289584 4680 2.38255470015936 0.0172326736265426
"26" "SegID24" -0.0426563537725493 0.013373208028959 4680 -3.18968744673522 0.00143366764598168
"27" "SegID25" -0.152758000371909 0.0133732080289584 4680 -11.4226893084387 7.9748244731785e-30
"28" "SegID26" -0.156418398515838 0.0133732080289587 4680 -11.6964006076272 3.59684754023673e-31
"29" "SegID27" 0.00307952634999889 0.0133732080289583 4680 0.230275812903717 0.817887518693898
"30" "SegID28" 0.0192171877375203 0.0133732080289585 4680 1.43699161008392 0.150787226189643
"31" "SegID29" -0.103472001209387 0.013373208028959 4680 -7.73726102108961 1.23593246456983e-14
"32" "SegID30" -0.0961669514724413 0.013373208028959 4680 -7.19101589268608 7.4513246461889e-13
"33" "SegID31" -0.0140112868800958 0.0133732080289582 4680 -1.04771322256828 0.294824858192605
"34" "SegID32" -0.00401182230063742 0.0133732080289585 4680 -0.299989523228097 0.764198470304808
"35" "SegID33" -0.0296008970851997 0.0133732080289587 4680 -2.21344773977202 0.0269148465076505
