"Model","AIC"
"log10(LacBic) ~ SegID",-8627.11305919984
"log10(LacBic) ~ SegID + Sex",-8623.70028169789
"log10(LacBic) ~ ParticipantType + SegID",-8623.45850071761
"log10(LacBic) ~ ParticipantType + SegID + Sex",-8619.24701414855
"log10(LacBic) ~ SegID + Age",-8617.28388056718
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:Sex",-8615.73226317968
"log10(LacBic) ~ SegID + Sex + Age",-8614.4889684157
"log10(LacBic) ~ ParticipantType + SegID + Age",-8611.31539406971
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age",-8607.93758947369
"log10(LacBic) ~ SegID + Sex + Age + Sex:Age",-8606.87493367641
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex",-8603.75847686856
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:Age",-8600.89035400776
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + Sex:Age",-8600.67099246858
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age",-8596.63805347996
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-8595.42758092818
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      Sex:Age",-8595.29515932115
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      Sex:Age",-8590.04038866243
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-8585.72429372829
"log10(LacBic) ~ ParticipantType + SegID + ParticipantType:SegID",-8085.31752308509
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:SegID",-8081.09431815389
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex",-8077.59416439078
"log10(LacBic) ~ SegID + Sex + SegID:Sex",-8076.79678965127
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:SegID",-8073.17326772095
"log10(LacBic) ~ ParticipantType + SegID + Sex + SegID:Sex",-8072.32781442427
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID",-8069.78119491641
"log10(LacBic) ~ ParticipantType + SegID + Sex + ParticipantType:Sex +      SegID:Sex",-8068.79082893367
"log10(LacBic) ~ SegID + Sex + Age + SegID:Sex",-8067.56138705903
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex",-8065.61516029275
