"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"1" "Control" "35" 1.16025465490767 0.0617015916613784 57 1.04305060541576 1.29062852487231
"2" "Patient" "35" 1.49180672264905 0.160131607273452 56 1.20316868858101 1.84968850906981
"3" "Control" "36" 1.60515134316494 0.085360909617345 57 1.44300569981798 1.78551674105598
"4" "Patient" "36" 2.40615729252611 0.250527471235416 56 1.95317239650443 2.96419964092168
"5" "Control" "37" 1.52181795550532 0.0809292939928075 57 1.36809030078721 1.69281946401183
"6" "Patient" "37" 2.30863630854775 0.240373652287512 56 1.87401078284844 2.84406133301102
"7" "Control" "38" 0.870985808742944 0.0463184616296071 57 0.783002482493946 0.968855522163002
"8" "Patient" "38" 1.12347509612071 0.134105641605193 56 0.884534453137586 1.42696113998298
"9" "Control" "39" 0.92680886575815 0.0492870956744458 57 0.83318652887513 1.03095122626094
"10" "Patient" "39" 1.30189232825426 0.142475670573173 56 1.04559850160498 1.62100809418302
"11" "Control" "40" 1.3617274062481 0.0724157821897427 57 1.22417142606624 1.51474008414475
"12" "Patient" "40" 1.79134733720723 0.192288069021933 56 1.44474778236879 2.22109721965318
"13" "Control" "41" 1.35325111115433 0.0719650183022935 57 1.21655137068285 1.50531133659612
"14" "Patient" "41" 1.92838583445637 0.206997403688901 56 1.55527254030157 2.39100982636195
"15" "Control" "44" 1.54851821515032 0.0823491965210151 57 1.39209341240557 1.72251994103519
"16" "Patient" "44" 2.25305667286657 0.259592612827352 56 1.78868102274291 2.83799308350922
"17" "Control" "45" 1.44258984993665 0.0767159946130316 57 1.29686548550223 1.6046887656466
"18" "Patient" "45" 2.06598189614397 0.238036450784427 56 1.64016691461422 2.60234562541371
"19" "Control" "47" 1.02549774932981 0.0545353066339107 57 0.921906276149414 1.14072944407427
"20" "Patient" "47" 1.41790750468621 0.147631571177054 56 1.15097122185312 1.74675235459713
"21" "Control" "48" 1.01783815116289 0.054127974160487 57 0.915020418401336 1.13220916290887
"22" "Patient" "48" 1.36471234305136 0.144107723684178 56 1.10451917991013 1.6861995818201
"23" "Control" "57" 1.63485823046811 0.0869407026586043 57 1.46971172220326 1.81856169026301
"24" "Patient" "57" 2.1102036264647 0.21971297552829 56 1.71293517968118 2.59960761969613
"25" "Control" "58" 1.72335253441455 0.0916467724712656 57 1.54926670344531 1.91699979820672
"26" "Patient" "58" 2.45023246360709 0.25511654826271 56 1.98894994429567 3.01849684198066
"27" "Control" "59" 1.20389715997801 0.0640224718367264 57 1.08228452802312 1.33917498982499
"28" "Patient" "59" 1.73450220000461 0.180595196901371 56 1.40796357297512 2.13677252705031
"29" "Control" "60" 1.13893216047715 0.0605676752069284 57 1.02388201976893 1.26691009425274
"30" "Patient" "60" 1.5607258244756 0.162501718118014 56 1.26690246242258 1.92269347596592
"31" "Control" "61" 1.2962694893202 0.0689347725301768 57 1.1653257928321 1.44192688369042
"32" "Patient" "61" 1.79689702651563 0.187091704071759 56 1.4586119047382 2.21363812636662
"33" "Control" "62" 1.28451802331203 0.0683098371731058 57 1.1547614105368 1.42885494540941
"34" "Patient" "62" 1.76924807387676 0.184212913807949 56 1.43616816373497 2.17957675567462
"35" "Control" "71" 0.836448726318912 0.0444818019377976 57 0.751954191000949 0.930437625235134
"36" "Patient" "71" 1.22536440370338 0.129393982026558 56 0.991737729030647 1.5140272250517
"37" "Control" "100" 1.41759455795502 0.0753867611617504 57 1.27439511287867 1.57688483770495
"38" "Patient" "100" 2.08892265279174 0.217497214930979 56 1.69566057736076 2.57339110645496
"39" "Control" "101" 1.09283750581448 0.0581163913032288 57 0.982443653416371 1.21563593999692
"40" "Patient" "101" 1.55564911688427 0.164273124235513 56 1.25904699846346 1.92212377918873
"41" "Control" "102" 1.46341689081432 0.0778235631681886 57 1.31558866623206 1.62785607028244
"42" "Patient" "102" 2.03987655262584 0.215403474418829 56 1.65095585744934 2.52041647944567
"43" "Control" "103" 1.56092500542199 0.0830089815983102 57 1.40324692086115 1.73632084013867
"44" "Patient" "103" 2.31228328448541 0.240753372957543 56 1.87697117648284 2.8485541252314
"45" "Control" "106" 1.33893374542343 0.0712036300585512 57 1.2036802850721 1.48938517716622
"46" "Patient" "106" 1.81117798603829 0.188578627926296 56 1.47020432058811 2.23123116370485
"47" "Control" "107" 1.28900504046571 0.068548453841459 57 1.15879516807344 1.43384615342192
"48" "Patient" "107" 1.91601297176714 0.199493975793715 56 1.5553029967842 2.36037975595139
"49" "Control" "108" 1.35485351023685 0.0720502328484715 57 1.21799190214382 1.50709379181435
"50" "Patient" "108" 2.11336219074973 0.22685890298024 56 1.70444956536504 2.6203765954987
"51" "Control" "109" 1.06492991744658 0.0566322838148879 57 0.957355172349128 1.18459247082775
"52" "Patient" "109" 1.35373736220903 0.142949410873209 56 1.09563569656841 1.67264068848841
"53" "Control" "112" 1.41191102634946 0.075084514629201 57 1.26928570775197 1.57056266698052
"54" "Patient" "112" 2.13401318069592 0.225343956714323 56 1.72714449607689 2.63672915944676
"55" "Control" "113" 1.52804573556507 0.0812604833059269 57 1.37368897667638 1.69974703853846
"56" "Patient" "113" 2.05503949009372 0.213969322928838 56 1.66815628315123 2.53164967125672
"57" "Control" "114" 0.896030935919135 0.0476503452842829 57 0.805517656170124 0.996714885110545
"58" "Patient" "114" 1.55726949623486 0.164444232730018 56 1.26035843414364 1.92412588213551
"59" "Control" "115" 0.651075670092933 0.034623782776317 57 0.58530674192033 0.724234829067904
"60" "Patient" "115" 0.98948262043981 0.106214753468605 56 0.798030545000442 1.22686513979473
"61" "Control" "120" 1.16676266136224 0.0620476832328206 57 1.04890120040693 1.2978678138808
"62" "Patient" "120" 1.94645773662374 0.20266386413625 56 1.58001620839371 2.39788535100796
"63" "Control" "121" 0.932530472147384 0.0495913669993509 57 0.838330162630873 1.03731575010301
"64" "Patient" "121" 1.54083071930773 0.162708334052662 56 1.24705389617048 1.90381451263099
"65" "Control" "122" 1.44411638267546 0.0767971746361503 57 1.29823781431872 1.60638682967809
"66" "Patient" "122" 1.97415667484587 0.208461985288964 56 1.5977688363 2.43921053427452
"67" "Control" "123" 1.35477301981283 0.0720459524198143 57 1.21791954252418 1.50700425695511
"68" "Patient" "123" 1.82880950477072 0.196310597398801 56 1.47495956736597 2.26754975440616
"69" "Control" "128" 1.24366960124822 0.066137544523789 57 1.11803932441225 1.38341652506903
"70" "Patient" "128" 1.6663077907157 0.175958010586505 56 1.34860803408278 2.05885000180075
"71" "Control" "129" 1.29134957531511 0.0686731346874282 57 1.16090286786481 1.43645413567943
