"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"1" "(Intercept)" 0.0750066052508613 0.0192296361728431 4680 3.90057329096995 9.7311020270858e-05
"2" "ParticipantTypePatient" 0.157496045017348 0.042285135145754 56 3.72461964410116 0.00045635535670251
"3" "SegID1" -0.0104532857795665 0.0127915280187265 4680 -0.817203837122747 0.413853548682964
"4" "SegID2" 0.130509381273656 0.0127915280187267 4680 10.2027983742514 3.44533002208744e-24
"5" "SegID3" 0.107356098663282 0.0127915280187276 4680 8.39275014729333 6.21997585096674e-17
"6" "SegID4" -0.134995526287791 0.0127915280187273 4680 -10.5535105806087 9.5058910845939e-26
"7" "SegID5" -0.108016425696771 0.0127915280187267 4680 -8.4443723641644 4.03007791221066e-17
"8" "SegID6" 0.059083572949363 0.0127915280187266 4680 4.61896130492507 3.96013321835768e-06
"9" "SegID7" 0.0563717871115337 0.0127915280187264 4680 4.40696272009155 1.07175591927538e-05
"10" "SegID8" 0.114909713058503 0.0127915280187275 4680 8.98326711947698 3.73901185357599e-19
"11" "SegID9" 0.0841362669176103 0.0127915280187268 4680 6.5774993256814 5.30824325092077e-11
"12" "SegID10" -0.0640718936958845 0.0127915280187273 4680 -5.00893197451318 5.67470953858941e-07
"13" "SegID11" -0.0673278799466389 0.0127915280187274 4680 -5.26347437523241 1.47679732780802e-07
"14" "SegID12" 0.138473492788327 0.0127915280187271 4680 10.8254066742924 5.43550063538196e-27
"15" "SegID13" 0.161367521930284 0.0127915280187269 4680 12.6151873094473 6.64840833846319e-36
"16" "SegID14" 0.00558278469285052 0.0127915280187267 4680 0.436443924813156 0.662534808674731
"17" "SegID15" -0.0185087487818232 0.0127915280187273 4680 -1.44695369894243 0.147976865917869
"18" "SegID16" 0.0376886937821793 0.0127915280187263 4680 2.94637933224275 0.00323103885952397
"19" "SegID17" 0.0337335970611554 0.0127915280187267 4680 2.63718275187842 0.00838741603191393
"20" "SegID18" -0.152567281063329 0.0127915280187271 4680 -11.9272131398193 2.5006602654473e-32
"21" "SegID19" 0.0765454320695948 0.0127915280187267 4680 5.98407257972096 2.3385422789376e-09
"22" "SegID20" -0.0364510138175437 0.0127915280187277 4680 -2.84962154358548 0.00439625225341449
"23" "SegID21" 0.0903614581191374 0.0127915280187275 4680 7.06416449909995 1.85374506148058e-12
"24" "SegID22" 0.118375432652174 0.0127915280187271 4680 9.25420578986882 3.20722706049664e-20
"25" "SegID23" 0.0517524820606932 0.012791528018727 4680 4.04584049575054 5.29760720824065e-05
"26" "SegID24" 0.035248010350923 0.0127915280187276 4680 2.75557465060607 0.00588158850005766
