"Model","AIC"
"log10(LacPyr) ~ ParticipantType + SegID",-8956.45265585172
"log10(LacPyr) ~ SegID",-8950.31181672066
"log10(LacPyr) ~ ParticipantType + SegID + Age",-8950.20139231922
"log10(LacPyr) ~ ParticipantType + SegID + Sex",-8949.71926194836
"log10(LacPyr) ~ ParticipantType + SegID + Sex + ParticipantType:Sex",-8946.2464114644
"log10(LacPyr) ~ SegID + Sex",-8943.71032935461
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age",-8943.69242890198
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex",-8939.37398591267
"log10(LacPyr) ~ ParticipantType + SegID + Age + ParticipantType:Age",-8938.6726832618
"log10(LacPyr) ~ SegID + Age",-8936.81456421776
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age",-8932.27882529471
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + Sex:Age",-8931.15898544713
"log10(LacPyr) ~ SegID + Sex + Age",-8930.21881431245
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-8928.28636624987
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      Sex:Age",-8926.93119132837
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      Sex:Age",-8919.74991008547
"log10(LacPyr) ~ SegID + Sex + Age + Sex:Age",-8918.42340453641
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-8915.90096319107
"log10(LacPyr) ~ ParticipantType + SegID + ParticipantType:SegID",-8465.41298011147
"log10(LacPyr) ~ ParticipantType + SegID + Age + ParticipantType:SegID",-8459.17717206474
"log10(LacPyr) ~ ParticipantType + SegID + Sex + ParticipantType:SegID",-8458.67676264475
"log10(LacPyr) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex",-8455.22510232195
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID",-8452.66254338796
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex",-8448.35853635918
"log10(LacPyr) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age",-8447.64907741142
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age",-8441.25100661354
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      Sex:Age",-8440.13279177677
