"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"Control" "35" 238.751383418546 12.8511838851912 57 214.35570193821 265.923521365906
"Patient" "35" 283.71594134846 30.6699369653165 56 228.47378760003 352.314968910822
"Control" "36" 190.799364339528 10.2700879936114 57 171.30343324824 212.51411452807
"Patient" "36" 255.537664971482 26.9302543953818 56 206.904020955972 315.602847723161
"Control" "37" 195.00336548189 10.496375234173 57 175.077868407177 217.196570275952
"Patient" "37" 247.974718440703 26.133220916676 56 200.780445992305 306.262199398154
"Control" "38" 259.06943625599 13.9448363259199 57 232.597650594704 288.553958435919
"Patient" "38" 322.830069420002 38.2045754900282 56 254.692569810998 409.196286326932
"Control" "39" 271.366543186907 14.6067482284286 57 243.638235785219 302.250591020242
"Patient" "39" 332.687785856429 36.5539241075186 56 266.960118276821 414.598118896861
"Control" "40" 198.080967445466 10.6620321957914 57 177.841000162659 220.624432095216
"Patient" "40" 249.867672568939 27.0113301717387 56 201.215416335947 310.28364989082
"Control" "41" 244.499548921433 13.1605882991988 57 219.516518322123 272.325881804765
"Patient" "41" 302.965341834418 32.751223555579 56 243.974488153074 376.219657422772
"Control" "44" 270.5341095712 14.5619411269384 57 242.890860463423 301.323418682127
"Patient" "44" 366.031459351446 42.0173171033861 56 290.837352586327 460.666513580581
"Control" "45" 287.666872887026 15.4841401470262 57 258.272993350448 320.406050524667
"Patient" "45" 386.077108850797 44.3181025567213 56 306.765464509825 485.894115286946
"Control" "47" 217.157506218027 11.6888581104688 57 194.968293000058 241.872059201023
"Patient" "47" 273.394240348641 28.812098770812 56 221.362152779514 337.656684836541
"Control" "48" 252.574631616537 13.5952428386493 57 226.766486864854 281.31998435134
"Patient" "48" 347.211848760978 37.0228009112251 56 280.432162346026 429.893871342982
"Control" "57" 221.678517787829 11.9322089560165 57 199.027346374492 246.907604124631
"Patient" "57" 311.898853229043 32.8699703193396 56 252.538610587396 385.211965882445
"Control" "58" 268.263737887921 14.4397346560411 57 240.852475978015 298.794657490539
"Patient" "58" 395.450957577371 41.6752453680135 56 320.189171419325 488.403337176135
"Control" "59" 264.573951259507 14.2411258531098 57 237.539712753731 294.684938672295
"Patient" "59" 328.432327288179 34.6123775002994 56 265.925452263312 405.631701252582
"Control" "60" 275.570668868111 14.8330421724967 57 247.412782757587 306.93318548065
"Patient" "60" 358.587571839712 37.7903372238427 56 290.34158423086 442.875060486197
"Control" "61" 251.532405836723 13.5391433306403 57 225.830755999502 280.159143540879
"Patient" "61" 316.901078804634 33.3971380357255 56 256.588818158301 391.389985223688
"Control" "62" 292.090769199509 15.7222636049374 57 262.244854731044 325.333427567382
"Patient" "62" 389.066353150569 41.0023933974571 56 315.019677801754 480.518005129648
"Control" "71" 321.664306207351 17.3141076260338 57 288.796559660848 358.27270937495
"Patient" "71" 418.633448083636 44.6386344134416 56 338.116784018735 518.323763083834
"Control" "100" 279.087061759398 15.0223177738002 57 250.569869664099 310.849776734565
"Patient" "100" 332.222224094386 35.0117819682656 56 268.99406012705 410.312428943935
"Control" "101" 301.779490519423 16.243774883791 57 270.943579863761 336.124815889551
"Patient" "101" 393.177186756625 41.9247371808378 56 317.555789039274 486.806745528218
"Control" "102" 297.116864447365 15.9928014059331 57 266.75738219554 330.931539410308
"Patient" "102" 396.076938268087 42.2334472505223 56 319.89861585173 490.395810591855
"Control" "103" 326.17256452197 17.5567720067531 57 292.844162911191 363.29404960379
"Patient" "103" 468.024313065711 49.3235070277798 56 378.950446656305 578.035359381166
"Control" "106" 330.127649379497 17.7696609209779 57 296.395116119174 367.699260068145
"Patient" "106" 403.141768770235 42.4857540730762 56 326.416275984886 497.901905279745
"Control" "107" 326.020987007073 17.5486130989848 57 292.708073628111 363.125221151597
"Patient" "107" 435.652964823242 45.9119995954466 56 352.739977386031 538.054992138232
"Control" "108" 398.530763821051 21.4515704848992 57 357.808781669226 443.88728798338
"Patient" "108" 537.181125480778 58.0716966967478 56 432.58376927445 667.069784094739
"Control" "109" 428.039229551261 23.0399119379999 57 384.302064322295 476.754092793999
"Patient" "109" 597.032802231285 63.6611450697855 56 482.204381134232 739.205575241167
"Control" "112" 330.307917814507 17.7793641644685 57 296.556964676324 367.900044735202
