"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"(Intercept)" 2.45176580628865 0.0201812693435501 4680 121.487195109074 0
"ParticipantTypePatient" 0.10508620952762 0.0443755655541854 56 2.36810975173496 0.0213564718812098
"SegID1" -0.0738199095541265 0.0117975554956292 4680 -6.25722079302575 4.26903511073681e-10
"SegID2" -0.171188882798434 0.0117975554956299 4680 -14.5105384638238 1.05884393550042e-46
"SegID3" -0.161723699553823 0.0117975554956299 4680 -13.7082380848922 5.80425776889299e-42
"SegID4" -0.0383496262179965 0.0117975554956292 4680 -3.25064173100982 0.00115959921288451
"SegID5" -0.0182095038823301 0.0117975554956305 4680 -1.54349804830962 0.122777591893751
"SegID6" -0.154923057809688 0.0117975554956292 4680 -13.1317930962125 1.03901417981731e-38
"SegID7" -0.0634877440605619 0.0117975554956292 4680 -5.38143211821155 7.75026721140244e-08
"SegID8" -0.0195437765331386 0.0117975554956291 4680 -1.65659543117889 0.0976683307585778
"SegID9" 0.00712404604060965 0.0117975554956295 4680 0.603857811327847 0.545967447707138
"SegID10" -0.114990960604552 0.0117975554956305 4680 -9.74701586673122 3.08767514465779e-22
"SegID11" -0.0493760780512137 0.0117975554956298 4680 -4.18528042266927 2.90039936599579e-05
"SegID12" -0.106042197334032 0.0117975554956301 4680 -8.98848896055716 3.56846916183068e-19
"SegID13" -0.0232038346957846 0.0117975554956307 4680 -1.96683412121929 0.0492613314997549
"SegID14" -0.0292187229796614 0.0117975554956297 4680 -2.47667603602163 0.0132963028453709
"SegID15" -0.011532815936316 0.0117975554956289 4680 -0.977559795382104 0.328342617814253
"SegID16" -0.0511718615509826 0.0117975554956304 4680 -4.33749699841936 1.47147379310559e-05
"SegID17" 0.0137520261074864 0.0117975554956293 4680 1.16566742259285 0.243808340511996
"SegID18" 0.0556370653772897 0.0117975554956296 4680 4.71598250992763 2.4754365701344e-06
"SegID19" -0.00602610285893699 0.0117975554956298 4680 -0.510792499443573 0.609520454880413
"SegID20" 0.0279239147145111 0.0117975554956304 4680 2.36692378559725 0.0179770973840836
"SegID21" 0.0211614969070232 0.01179755549563 4680 1.7937187847823 0.0729225994542916
"SegID22" 0.0616816219735089 0.0117975554956297 4680 5.22833920945389 1.78488948395313e-07
"SegID23" 0.0669160932918072 0.01179755549563 4680 5.6720303893967 1.49604562004307e-08
"SegID24" 0.0614797515952094 0.0117975554956292 4680 5.21122800549543 1.95660350255894e-07
"SegID25" 0.148696045270429 0.0117975554956299 4680 12.6039708247619 7.62944230801153e-36
"SegID26" 0.179717767390156 0.01179755549563 4680 15.2334750581785 3.51849216365889e-51
"SegID27" 0.0671531780050466 0.0117975554956303 4680 5.6921264773808 1.33122400260279e-08
"SegID28" 0.0485294540853483 0.0117975554956303 4680 4.11351776249945 3.96366774831877e-05
"SegID29" 0.150444336346488 0.0117975554956296 4680 12.7521617848901 1.22686933432252e-36
"SegID30" 0.208712270912106 0.0117975554956295 4680 17.6911455080186 7.60028680338372e-68
"SegID31" -0.170982917996509 0.0117975554956293 4680 -14.4930802029161 1.35067893000183e-46
"SegID32" -0.0501347809203282 0.0117975554956299 4680 -4.24959059856928 2.1832754456876e-05
"SegID33" -0.0456107466798424 0.0117975554956296 4680 -3.8661184256975 0.00011208074284949
"SegID34" -0.107251647182995 0.0117975554956291 4680 -9.09100594803138 1.41967646212169e-19
"SegID35" 0.0846525622639504 0.0117975554956296 4680 7.17543242710831 8.34096982022286e-13
"SegID36" 0.0678494747771445 0.0117975554956295 4680 5.75114690516015 9.42761727605123e-09
