"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"Control" "35" 205.774984318029 10.4727474819836 57 185.836906220876 227.852179807373
"Patient" "35" 190.244133020895 19.767521335845 56 154.49462030742 234.265957460874
"Control" "36" 118.866900091388 6.0496324796183 57 107.349574285032 131.619897251015
"Patient" "36" 106.201562867582 10.5824751038504 56 86.9841153038029 129.664731498671
"Control" "37" 128.138431260085 6.52149938327978 57 115.722762474214 141.886152859979
"Patient" "37" 107.411772708659 10.7030666956106 56 87.9753345431026 131.142313653426
"Control" "38" 297.443923489291 15.1381622556195 57 268.623801375285 329.356100121227
"Patient" "38" 287.432401277927 34.3331387184922 56 226.264623288326 365.136114093793
"Control" "39" 292.796663058379 14.9016437830884 57 264.426826199972 324.210244210581
"Patient" "39" 255.533201844341 27.253731684932 56 206.375635277465 316.399836429484
"Control" "40" 145.463010097759 7.40321948157039 57 131.368717415935 161.069451867345
"Patient" "40" 139.537254529957 14.4991300996597 56 113.315679831385 171.826577140345
"Control" "41" 180.675668326531 9.19533857234074 57 163.16952880579 200.060007307444
"Patient" "41" 157.132087036625 16.3273060814506 56 127.604254482431 193.492708190894
"Control" "44" 174.705151624541 8.89147406731326 57 157.777511131168 193.448925549217
"Patient" "44" 162.387315632524 18.5353522269496 56 129.195750387513 204.106096363411
"Control" "45" 199.410021427542 10.1488079647232 57 180.08866128382 220.804332500778
"Patient" "45" 186.829656697958 21.325064646863 56 148.642466149561 234.827378245702
"Control" "47" 211.758149991016 10.7772557459196 57 191.240347274509 234.477267619951
"Patient" "47" 192.815285514094 19.2131161114725 56 157.924860751868 235.414070659182
"Control" "48" 248.148127802009 12.6292935422172 57 224.104404663475 274.771454956941
"Patient" "48" 254.43171272044 25.851274035727 56 207.575526281559 311.864782893762
"Control" "57" 135.594948636224 6.90099266247556 57 122.45679831903 150.142665397475
"Patient" "57" 147.805097724894 14.7280673152251 56 121.059382892721 180.459757777098
"Control" "58" 155.663877547293 7.92238418592075 57 140.581196055519 172.364750428564
"Patient" "58" 161.393240621427 16.0820604206695 56 132.188716177113 197.049936421092
"Control" "59" 219.764577951442 11.1847362690749 57 198.471011424367 243.342689572477
"Patient" "59" 189.35249968971 18.8680661537596 56 155.088674981267 231.186249692781
"Control" "60" 241.955296751531 12.3141145324595 57 218.511613260849 267.914207178711
"Patient" "60" 229.756928613769 22.894173224399 56 188.181817957861 280.517250916628
"Control" "61" 194.043297253441 9.87567298056995 57 175.241933094964 214.861822989495
"Patient" "61" 176.360177644206 17.5734437313082 56 144.447347223413 215.323526922165
"Control" "62" 227.393282070402 11.5729928500068 57 205.360550386746 251.789862431565
"Patient" "62" 219.90491830693 21.9124677675313 56 180.112554404999 268.488630652808
"Control" "71" 384.559502676217 19.5718375422199 57 347.298523540334 425.818139366217
"Patient" "71" 341.638178306585 34.7120900929344 56 278.721557008929 418.757150071828
"Control" "100" 196.873683094551 10.0197231249001 57 177.798075426193 217.995875390132
"Patient" "100" 159.039983433751 15.8475696567944 56 130.261286965854 194.17677285223
"Control" "101" 276.143057786537 14.054072328985 57 249.386832434939 305.769906210235
"Patient" "101" 252.714086616098 25.6774607067185 56 206.173067409929 309.761165105181
"Control" "102" 203.029544289346 10.3330205844575 57 183.357479079446 224.812186889193
"Patient" "102" 194.166097978777 19.7282139819412 56 158.408165665922 237.995771529944
"Control" "103" 208.961073330864 10.6349008447803 57 188.714286710307 231.380098077132
"Patient" "103" 202.407860752171 20.1689701111478 56 165.781634682866 247.125938724409
"Control" "106" 246.560108375711 12.5484726081116 57 222.670252605683 273.013060033196
"Patient" "106" 222.585395735762 22.1795644551045 56 182.307992508198 271.761307407396
"Control" "107" 252.924524553674 12.872384300891 57 228.418003802625 280.060301971551
"Patient" "107" 227.374747062098 22.6568002867253 56 186.230698321105 277.608772708415
"Control" "108" 294.15044564588 14.9705434271896 57 265.649437240817 325.709271483356
"Patient" "108" 254.165903112185 26.4108072610876 56 206.40228351972 312.982517456793
"Control" "109" 401.941219359843 20.4564656238806 57 362.996080092206 445.064706427243
"Patient" "109" 440.989273314818 44.8065199380547 56 359.776197664123 540.534755888115
"Control" "112" 233.943861652901 11.9063791751499 57 211.276427127545 259.043240881918
"Patient" "112" 207.688854651237 21.1021914169164 56 169.44055031767 254.571059085167
"Control" "113" 207.089894650944 10.539668754867 57 187.024411441866 229.308164297417
"Patient" "113" 208.26042862974 20.7521503599657 56 170.575165261324 254.27151758344
"Control" "114" 446.567526112968 22.727684563481 57 403.298426903454 494.478882325014
"Patient" "114" 328.29881717432 33.3573806309492 56 267.837757167467 402.408213456877
"Control" "115" 702.824044122524 35.7696479130145 57 634.725578574278 778.228660811617
"Patient" "115" 599.474731764822 62.2914202348343 56 486.821282220521 738.196884871843
"Control" "120" 163.606429141498 8.32661377429563 57 147.754172987863 181.159442844505
"Patient" "120" 101.839369370425 10.1478034960568 56 83.4112720057492 124.338796236688
"Control" "121" 270.375909462981 13.7605580892246 57 244.178478243012 299.384011825891
"Patient" "121" 211.45881315247 21.4856458479116 56 172.515559865631 259.193024065068
"Control" "122" 176.422050226362 8.97885420036791 57 159.328054923042 195.350026843086
"Patient" "122" 183.700174630275 18.6646164627782 56 149.870004907756 225.166831614931
"Control" "123" 163.172745149589 8.3045417865404 57 147.362509775733 180.679229745564
"Patient" "123" 158.873030816325 16.5084250629383 56 129.01768580279 195.637053662134
"Control" "128" 276.51159634192 14.0728287936771 57 249.719662322801 306.177984546216
"Patient" "128" 253.029409029525 25.709414679831 56 206.430457340442 310.147459142832
"Control" "129" 256.195476285418 13.0388566815151 57 231.372024439485 283.682187715304
"Patient" "129" 261.604513492211 27.1823969161352 56 212.445234796177 322.1391223256
"Control" "132" 163.845146402659 8.33876309168731 57 147.969760307298 181.42377161359
"Patient" "132" 161.21793540127 16.3808328095817 56 131.527279338683 197.610889738856
"Control" "133" 150.299510605779 7.6493691711689 57 135.7365967008 166.424851052742
"Patient" "133" 145.543403966869 15.1232998646716 56 118.193036957876 179.2227612005
"Control" "134" 389.514067427407 19.8239960137385 57 351.773027514097 431.304269676453
"Patient" "134" 342.703595041391 35.6109080151673 56 278.301706565807 422.008745485443
"Control" "135" 465.404189390743 23.6863609476147 57 420.309956456805 515.336494353816
"Patient" "135" 463.240695757191 47.0669757797671 56 377.930410899437 567.808083225954
"Control" "138" 219.76686669329 11.1848527526968 57 198.473078404013 243.345223868961
"Patient" "138" 183.369852378461 18.2719241148202 56 150.188603179192 223.881852880545
"Control" "139" 261.672393107727 13.3175998292787 57 236.318268421767 289.746712228439
"Patient" "139" 250.723421734452 24.9833834532666 56 205.3543699042 306.115882683957
"Control" "142" 182.707678636009 9.29875605490075 57 165.004652305247 202.310028027602
"Patient" "142" 139.417192418834 14.1653802584773 56 113.742035444189 170.888040345361
"Control" "143" 185.128646712622 9.42196922103146 57 167.19104643332 204.990737032774
"Patient" "143" 146.741992678375 14.6221340089366 56 120.188649454817 179.161780358596
"Control" "144" 249.717322966822 12.7091564311171 57 225.521556391865 276.509006001013
"Patient" "144" 217.399653389634 21.6628301642796 56 178.060623656067 265.429876204539
"Control" "145" 243.395145098983 12.387394422166 57 219.811950924363 269.508534038441
"Patient" "145" 225.963645546314 22.5161908055033 56 185.07493927538 275.885915772782
"Control" "146" 102.121939051648 5.19741154933348 57 92.2270764521319 113.078402101159
"Patient" "146" 90.6331645379101 9.20891219636291 56 73.9417828051328 111.092405437453
"Control" "147" 187.280216756699 9.53147159730951 57 169.134145211016 207.373144817548
"Patient" "147" 164.190220829639 16.3607660500421 56 134.479575580349 200.464854977019
"Control" "152" 227.463481423381 11.5765655879644 57 205.423947940242 251.867593335789
"Patient" "152" 181.227929562623 18.8312917464156 56 147.171696317384 223.164937792972
"Control" "153" 292.0842309944 14.8653851429587 57 263.783423547793 323.421376704261
"Patient" "153" 247.576063899858 25.7254888911393 56 201.051732918091 304.866347215806
"Control" "154" 206.994436517108 10.5348104921676 57 186.938202497059 229.202464647156
"Patient" "154" 164.220341177252 17.0640648699382 56 133.360126923277 202.221766569615
"Control" "155" 225.595758879236 11.4815093952203 57 203.737193933513 249.799486493894
"Patient" "155" 192.425527773721 19.5518795143463 56 156.987298485136 235.86356409911
"Control" "156" 256.874708650954 13.073425650476 57 231.985444199107 284.434293592489
"Patient" "156" 193.677421561916 19.6788711800481 56 158.008979520948 237.397543713008
"Control" "157" 394.543895843806 20.0799849671924 57 356.315502659087 436.873738543292
"Patient" "157" 458.900121602306 46.6263437511564 56 374.388564185817 562.488659514961
"Control" "160" 352.350175089246 17.9325704782432 57 318.210042206925 390.153136036762
"Patient" "160" 347.465419224685 36.1044884799494 56 282.170673306762 427.869473968091
"Control" "161" 342.251006200197 17.4185816379406 57 309.089408287486 378.970447075618
"Patient" "161" 375.927462090084 38.1956268419421 56 306.696759411131 460.785621031126
"Control" "162" 233.312702475388 11.8742568512974 57 210.706422618635 258.34436587105
"Patient" "162" 189.809850539821 18.9136389669492 56 155.463267011799 231.744643313166
"Control" "163" 204.108901501746 10.3879535762677 57 184.33225453976 226.007346225256
"Patient" "163" 200.884125999517 20.0171372694322 56 164.533623675885 245.265564430064
"Control" "166" 283.459877702356 14.426455821582 57 255.994706472872 313.871733420196
"Patient" "166" 235.313445370374 23.9096142035662 56 191.976722180879 288.43297741017
"Control" "167" 344.647924764868 17.5405708240699 57 311.254083123926 381.624526343763
"Patient" "167" 308.024575707041 31.2976113998954 56 251.296938440215 377.557879647924
"Control" "168" 344.766443216218 17.5466027225392 57 311.361118011581 381.755760407888
"Patient" "168" 259.540393558764 26.9693612506172 56 210.766650789329 319.600921855367
"Control" "169" 458.324066074858 23.3260239325288 57 413.915844864245 507.496758458922
"Patient" "169" 378.728810539721 38.4816929331327 56 308.979861003866 464.222850857705
"Control" "170" 215.280650238271 10.9565304800033 57 194.421543231256 238.377690027316
"Patient" "170" 211.985313124451 21.1233171899601 56 173.626022269759 258.819342820932
"Control" "171" 266.987635444494 13.5881146879387 57 241.118502983575 295.632216516779
"Patient" "171" 264.812399395569 27.516537128399 56 215.048978208263 326.09132792868
"Control" "176" 207.462740906899 10.5586444564139 57 187.36113164589 229.721012498737
"Patient" "176" 166.254198134992 16.5664314645524 56 136.170070852411 202.98482790295
"Control" "177" 218.075176851996 11.0987555986407 57 196.94530082972 241.472035934216
"Patient" "177" 183.664552190842 18.3012895341552 56 150.42997629808 224.241660881607
"Control" "178" 201.896030217761 10.275331324131 57 182.333794160119 223.557060310474
"Patient" "178" 186.254581188411 18.5593734704453 56 152.551332847661 227.403906384175
"Control" "179" 233.257405144017 11.8714425393935 57 210.656483190778 258.28313579718
"Patient" "179" 214.223370805052 21.3463288768547 56 175.45909762279 261.551855793416
"Control" "182" 212.056982051163 10.7924645562411 57 191.51022471234 234.808160787197
"Patient" "182" 172.172970123419 17.4935067168962 56 140.465488728805 211.037827934748
"Control" "183" 216.774949961715 11.0325816274152 57 195.771056334085 240.032310244641
"Patient" "183" 178.272940025447 17.7640413056988 56 146.013990303102 217.658876929148
"Control" "190" 192.016489712589 9.77252028861268 57 173.411508254232 212.617563232833
"Patient" "190" 141.237391626719 14.3503583724316 56 115.226963322756 173.119209413199
"Control" "191" 210.842063032772 10.7306322585358 57 190.413022385075 233.46289548419
"Patient" "191" 175.152665030312 18.2000144420801 56 142.238091497449 215.683828039629
"Control" "192" 349.456531200938 17.7853008679674 57 315.596771066654 386.949038756801
"Patient" "192" 261.733925644298 26.080527227432 56 214.372494645369 319.558943168061
"Control" "193" 352.012503891224 17.9153849821513 57 317.905088857186 389.779236756524
"Patient" "193" 263.033466943698 26.2100202694927 56 215.436880584491 321.145592828464
"Control" "194" 237.776663961231 12.1014464757577 57 214.737859164567 263.287257051416
"Patient" "194" 186.826272360843 18.9827503752796 56 152.419566542 228.999837987532
"Control" "195" 245.51129433805 12.4950940858954 57 221.723060911776 271.851720789334
"Patient" "195" 222.041673742554 22.1253851727929 56 181.862658416369 271.097460620629
"Control" "196" 239.894949710997 12.2092548754303 57 216.650898650553 265.632809535061
