"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"(Intercept)" 2.37675920103779 0.0167394254700343 4680 141.985709443403 0
"ParticipantTypePatient" -0.0524216875704003 0.0368146446940945 56 -1.42393571922234 0.160013517159671
"SegID1" -0.0633666237745584 0.0144338773030249 4680 -4.39013180202652 1.1577933049325e-05
"SegID2" -0.301698264072051 0.0144338773030251 4680 -20.9020942701807 7.93757827967161e-93
"SegID3" -0.269079798217122 0.0144338773030261 4680 -18.6422395429889 7.08718857940742e-75
"SegID4" 0.0966459000698026 0.0144338773030258 4680 6.69576843704656 2.39826570639253e-11
"SegID5" 0.0898069218144425 0.0144338773030251 4680 6.22195408267883 5.33862873090642e-10
"SegID6" -0.214006630759058 0.014433877303025 4680 -14.8266904495722 1.23157008925432e-48
"SegID7" -0.119859531172099 0.0144338773030247 4680 -8.30404254212285 1.30351557716152e-16
"SegID8" -0.134453489591641 0.014433877303026 4680 -9.31513319456117 1.82877815563284e-20
"SegID9" -0.0770122208770065 0.0144338773030252 4680 -5.33551860392117 9.97674189881679e-08
"SegID10" -0.0509190669086606 0.0144338773030258 4680 -3.5277469691381 0.000423136292099083
"SegID11" 0.0179518018954165 0.0144338773030259 4680 1.24372692926059 0.213662374958445
"SegID12" -0.244515690122353 0.0144338773030255 4680 -16.9404024288816 1.5996913544485e-62
"SegID13" -0.184571356626063 0.0144338773030254 4680 -12.7873718718239 7.92429596374985e-37
"SegID14" -0.0348015076725115 0.0144338773030251 4680 -2.41109903748577 0.0159428142467877
"SegID15" 0.00697593284550799 0.0144338773030258 4680 0.483302767444586 0.628903384573157
"SegID16" -0.0888605553331551 0.0144338773030247 4680 -6.15638843725891 8.06462275823573e-10
"SegID17" -0.0199815709536686 0.014433877303025 4680 -1.384352279999 0.166316615925603
"SegID18" 0.208204346440627 0.0144338773030255 4680 14.4246997580466 3.4956442162588e-46
"SegID19" -0.0825715349285342 0.0144338773030251 4680 -5.72067596218437 1.12705678601433e-08
"SegID20" 0.0643749285320571 0.0144338773030262 4680 4.45998862125288 8.38843963181067e-06
"SegID21" -0.0691999612121156 0.014433877303026 4680 -4.79427389878171 1.68328121479227e-06
"SegID22" -0.0566938106786719 0.0144338773030256 4680 -3.92782961143697 8.69502381650112e-05
"SegID23" 0.0151636112311143 0.0144338773030254 4680 1.050557027247 0.293516330030635
"SegID24" 0.0262317412442953 0.0144338773030261 4680 1.81737316270492 0.0692239148481286
"SegID25" 0.0918103096540586 0.0144338773030254 4680 6.36075170424338 2.19940289075906e-10
"SegID26" 0.227403344648145 0.0144338773030257 4680 15.7548342606789 1.56876511728934e-54
"SegID27" -0.00764754661643864 0.0144338773030253 4680 -0.529833145722788 0.596252755539839
"SegID28" -0.0606002938604571 0.0144338773030255 4680 -4.19847644456244 2.73706943978024e-05
"SegID29" 0.273127937440762 0.0144338773030261 4680 18.9227005125989 5.21310685352845e-77
"SegID30" 0.470087409570206 0.014433877303026 4680 32.5683390333138 6.7795039251381e-210
"SegID31" -0.162958835163277 0.0144338773030251 4680 -11.2900249698758 3.4941063341384e-29
"SegID32" 0.0552087922474153 0.0144338773030255 4680 3.82494537596235 0.000132504215627808
"SegID33" -0.130206336267164 0.0144338773030258 4680 -9.02088423876711 2.66963759726952e-19
"SegID34" -0.164111581053917 0.0144338773030259 4680 -11.3698888807592 1.43853456744319e-29
"SegID35" 0.0649541484246265 0.0144338773030259 4680 4.50011781733862 6.95630865060362e-06
"SegID36" 0.0318122559804568 0.0144338773030261 4680 2.20399933521586 0.0275729028135998
"SegID37" -0.1623256202676 0.0144338773030253 4680 -11.2461549214899 5.67507381625596e-29
"SegID38" -0.199801634566355 0.0144338773030259 4680 -13.842547665586 9.71661381335552e-43
"SegID39" 0.213763945940689 0.0144338773030259 4680 14.8098768925987 1.56415491053919e-48
"SegID40" 0.291071087283555 0.0144338773030252 4680 20.1658280150787 8.64898107560988e-87
"SegID41" -0.0347969847289664 0.0144338773030258 4680 -2.4107856813825 0.0159565000181548
"SegID42" 0.0409987051962362 0.0144338773030253 4680 2.84044988990194 0.00452444956309715
"SegID43" -0.115002401254103 0.0144338773030255 4680 -7.96753352129419 2.01712728145251e-15
"SegID44" -0.109285574577694 0.0144338773030257 4680 -7.57146345942572 4.4190193714046e-14
"SegID45" 0.0206894694991771 0.0144338773030252 4680 1.43339652020188 0.15181135299232
"SegID46" 0.00955271025251657 0.0144338773030255 4680 0.661825651691957 0.508115548900762
"SegID47" -0.36764014861263 0.0144338773030251 4680 -25.4706438813623 3.93262043613013e-134
"SegID48" -0.1042672976998 0.0144338773030254 4680 -7.22378994297982 5.87339032130055e-13
"SegID49" -0.0198475191188005 0.0144338773030257 4680 -1.37506497402746 0.169177123931365
"SegID50" 0.0887489099344627 0.0144338773030255 4680 6.14865348175434 8.4645146742194e-10
"SegID51" -0.0608005281528072 0.0144338773030253 4680 -4.21234896738823 2.57481658780204e-05
"SegID52" -0.0234282702329493 0.0144338773030255 4680 -1.62314461603733 0.104625844575788
"SegID53" 0.0329621456028713 0.0144338773030256 4680 2.28366535968556 0.0224358114630197
"SegID54" 0.219336127577904 0.0144338773030253 4680 15.1959257359028 6.07838175263215e-51
"SegID55" 0.170215290604421 0.0144338773030253 4680 11.7927627505012 1.18871284193493e-31
"SegID56" 0.157585532573353 0.0144338773030253 4680 10.9177547560504 2.02499123625774e-27
"SegID57" -0.00882081687416488 0.0144338773030257 4680 -0.611119014591859 0.541150472602034
"SegID58" -0.0668972556613113 0.0144338773030254 4680 -4.63473911111115 3.67104451622158e-06
"SegID59" 0.0757323943759253 0.0144338773030253 4680 5.24685036362697 1.61554772021967e-07
"SegID60" 0.16061646677463 0.0144338773030258 4680 11.1277422831466 2.08302194363643e-28
"SegID61" 0.160765787451199 0.0144338773030256 4680 11.1380874366654 1.86028289157431e-28
"SegID62" 0.284413461114484 0.0144338773030256 4680 19.7045779968537 4.236085241734e-83
"SegID63" -0.0437542045277878 0.0144338773030254 4680 -3.03135488886391 0.00244791380471297
"SegID64" 0.0497319480325217 0.0144338773030258 4680 3.44550164785565 0.000575010604043294
"SegID65" -0.0598190897318061 0.0144338773030258 4680 -4.14435348700561 3.4679526956742e-05
"SegID66" -0.0381529676908422 0.0144338773030257 4680 -2.64329305908984 0.00823776326411069
"SegID67" -0.0716314213287726 0.0144338773030257 4680 -4.96272898992683 7.19763315053012e-07
"SegID68" -0.00892376100023924 0.0144338773030255 4680 -0.618251133281335 0.536439894490114
"SegID69" -0.0503066247071751 0.0144338773030254 4680 -3.48531608320035 0.000496066196861015
"SegID70" -0.0407501063907967 0.0144338773030257 4680 -2.82322660330877 0.00477437954751484
"SegID71" -0.0934206750234117 0.0144338773030255 4680 -6.47232015778808 1.06403353643085e-10
"SegID72" -0.0528019440196019 0.0144338773030255 4680 -3.65819543225118 0.000256792189893492
"SegID73" 0.166633960635756 0.0144338773030254 4680 11.5446430046089 2.02187048651943e-30
