"Model","AIC"
"log10(Pyruvate) ~ SegID",-7775.23761568251
"log10(Pyruvate) ~ SegID + Sex",-7771.5331427702
"log10(Pyruvate) ~ ParticipantType + SegID",-7770.52605436536
"log10(Pyruvate) ~ ParticipantType + SegID + Sex",-7767.77275036372
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + ParticipantType:Sex",-7763.24285081514
"log10(Pyruvate) ~ SegID + Age",-7761.56173701141
"log10(Pyruvate) ~ SegID + Sex + Age",-7757.73562313776
"log10(Pyruvate) ~ ParticipantType + SegID + Age",-7756.49235723144
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age",-7753.68574009198
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex",-7749.23555738589
"log10(Pyruvate) ~ ParticipantType + SegID + Age + ParticipantType:Age",-7747.55470203602
"log10(Pyruvate) ~ SegID + Sex + Age + Sex:Age",-7744.91239388215
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age",-7743.60162634996
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + Sex:Age",-7740.97618282988
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-7738.82418843734
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      Sex:Age",-7736.58176800113
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      Sex:Age",-7730.77723006479
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-7726.28870645463
"log10(Pyruvate) ~ ParticipantType + SegID + ParticipantType:SegID",-7350.30128971554
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + ParticipantType:SegID",-7347.54943119353
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex",-7343.01905678954
"log10(Pyruvate) ~ ParticipantType + SegID + Age + ParticipantType:SegID",-7336.26659914232
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID",-7333.46226044773
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex",-7329.01211439199
"log10(Pyruvate) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age",-7327.31242593191
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age",-7323.36456011366
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      Sex:Age",-7320.75411943143
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age",-7318.58814790386
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + Sex:Age",-7316.3581062516
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + Sex:Age",-7310.54163242205
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + Sex:Age",-7306.05281034426
"log10(Pyruvate) ~ SegID + Sex + SegID:Sex",-7274.11016202651
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + SegID:Sex",-7270.35111233209
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + ParticipantType:Sex +      SegID:Sex",-7265.81505539369
"log10(Pyruvate) ~ SegID + Sex + Age + SegID:Sex",-7260.30911614614
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + SegID:Sex",-7256.26486703161
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex",-7251.8091718258
"log10(Pyruvate) ~ SegID + Sex + Age + SegID:Sex + Sex:Age",-7247.4859860443
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex",-7246.15664944705
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      Sex:Age",-7243.5554527763
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex",-7241.38048427599
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + Sex:Age",-7239.1558921666
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + Sex:Age",-7233.33353219081
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + Sex:Age",-7228.84555146927
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      SegID:Sex",-6842.18305963005
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex",-6837.64478563194
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex",-6828.09642060352
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex",-6823.6388469897
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex",-6817.978040645
