"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"1" "Control" "35" 18.9409218116042 0.38550108770988 55 18.1839039217949 19.7294552707849
"2" "Patient" "35" 18.1623141728178 0.77688536524819 55 16.6702654934179 19.7879065718769
"3" "Control" "36" 3.53114750058026 0.0718687937090659 55 3.39001699721389 3.67815343731372
"4" "Patient" "36" 3.04556944491219 0.121897804355192 55 2.81082134214173 3.29992273244774
"5" "Control" "37" 3.50495412614509 0.0713356847909297 55 3.36487050176587 3.65086960105434
"6" "Patient" "37" 3.16280067905081 0.126589941671981 55 2.91901656173619 3.42694463146672
"7" "Control" "38" 56.6964499857976 1.15393238809657 55 54.4304448063859 59.0567916985849
"8" "Patient" "38" 51.4230045709143 2.69013309900858 55 46.3048367708753 57.1068938690979
"9" "Control" "39" 55.5412330341067 1.13042047057492 55 53.3213987806794 57.8534816694776
"10" "Patient" "39" 51.2103878452847 2.27882149775822 55 46.8412395255632 55.9870714316446
"11" "Control" "40" 12.0526632785119 0.245305632422849 55 11.5709506241631 12.5544302126599
"12" "Patient" "40" 10.557424357571 0.451528173872189 55 9.69023608963589 11.5022181126261
"13" "Control" "41" 12.1378494244885 0.247039410338115 55 11.6527321081539 12.6431627608143
"14" "Patient" "41" 11.6395956675273 0.497806012944257 55 10.6835274671441 12.6812223509671
"15" "Control" "44" 193.81387876126 3.944658122709 55 186.067657380116 201.882584697379
"16" "Patient" "44" 184.28544403371 9.04900131336881 55 167.014545975279 203.34231778667
"17" "Control" "45" 189.812238556203 3.86321347777462 55 182.225952011069 197.714351375858
"18" "Patient" "45" 176.727259364498 8.67780747066858 55 160.164815000248 195.002405506091
"19" "Control" "47" 4.06910786203641 0.0828178017113664 55 3.90647652456696 4.23850973857367
"20" "Patient" "47" 3.87349196620793 0.155035100794373 55 3.5749287889069 4.19698989776665
"21" "Control" "48" 3.90677827031644 0.079513937475086 55 3.7506348116419 4.069422169826
"22" "Patient" "48" 3.6382143197078 0.150223372006008 55 3.34927918124851 3.95207527346008
"23" "Control" "57" 4.54483966157096 0.0925002832718138 55 4.36319459886782 4.73404682769552
"24" "Patient" "57" 3.89431308036134 0.155868458281516 55 3.594145041594 4.21954990473825
"25" "Control" "58" 4.69706539516556 0.0955985055474681 55 4.50933627780201 4.89260990249672
"26" "Patient" "58" 4.06858825500867 0.162843758476562 55 3.75498733698888 4.40837981681947
"27" "Control" "59" 8.02915797254937 0.163415971123219 55 7.70825404370252 8.36342151966587
"28" "Patient" "59" 7.34388152963985 0.293936175188271 55 6.77782572719083 7.95721195737185
"29" "Control" "60" 8.12709109130163 0.165409185824038 55 7.80227303812451 8.46543171247326
"30" "Patient" "60" 7.38748177838571 0.295681259215277 55 6.81806533161104 8.00445351747391
"31" "Control" "61" 4.86236475413716 0.0989628129088027 55 4.66802906433959 5.06479087349474
"32" "Patient" "61" 4.513005552314 0.18063139843647 55 4.16514958962429 4.88991299759156
"33" "Control" "62" 5.20684936312229 0.105974044610406 55 4.99874554660103 5.42361679295354
"34" "Patient" "62" 4.87291548803553 0.195036662123156 55 4.49731818629345 5.27988111357242
