"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"1" "(Intercept)" 0.937081397539031 0.00709336440543072 4680 132.106761189598 0
"2" "ParticipantTypePatient" -0.0425985616856453 0.0106658934444016 55 -3.99390467453101 0.000194626528600915
"3" "SegID1" 0.364497866550047 0.0073811262696451 4680 49.3824185136955 0
"4" "SegID2" -0.364987385774652 0.00738112626964519 4680 -49.4487389107078 0
"5" "SegID3" -0.368220906588765 0.00738112626964569 4680 -49.8868185066884 0
"6" "SegID4" 0.840652621899114 0.00738112626964554 4680 113.892188155113 0
"7" "SegID5" 0.831712272248588 0.00738112626964522 4680 112.680943512509 0
"8" "SegID6" 0.168179778864593 0.00738112626964514 4680 22.7851106620723 4.54650932801808e-109
"9" "SegID7" 0.171238500811752 0.00738112626964502 4680 23.1995083888448 8.56517082396812e-113
"10" "SegID8" 1.37448162833795 0.00738112626964567 4680 186.215704504392 0
"11" "SegID9" 1.36542096631707 0.00738112626964525 4680 184.988159860147 0
"12" "SegID10" -0.303404042672759 0.00738112626964556 4680 -41.1053857621282 1.25638726765506e-315
"13" "SegID11" -0.321084481269428 0.00738112626964561 4680 -43.5007435911057 0
"14" "SegID12" -0.255384678501919 0.00738112626964542 4680 -34.5996896912844 8.68898463546517e-234
"15" "SegID13" -0.241076638041186 0.00738112626964533 4680 -32.6612266521718 5.73004237518749e-211
"16" "SegID14" -0.00823324207446377 0.00738112626964518 4680 -1.11544522796242 0.264716949591696
"17" "SegID15" -0.0029681172509089 0.00738112626964558 4680 -0.402122540988778 0.687612208215681
"18" "SegID16" -0.226055710083311 0.00738112626964499 4680 -30.6261811307807 6.54280320771461e-188
"19" "SegID17" -0.196328231265921 0.00738112626964517 4680 -26.5986821107938 2.7414242135819e-145
"20" "SegID18" -0.172984086354922 0.00738112626964542 4680 -23.4360015037694 6.06982913557884e-115
"21" "SegID19" -0.171280247097385 0.00738112626964518 4680 -23.2051642039743 7.61253569305089e-113
"22" "SegID20" -0.140214942145942 0.00738112626964577 4680 -18.996415590743 1.41860329184597e-77
"23" "SegID21" -0.23135071896829 0.00738112626964567 4680 -31.3435525306894 6.27255432500828e-196
"24" "SegID22" -0.234167317870019 0.00738112626964544 4680 -31.7251472628266 3.04062382779111e-200
"25" "SegID23" 0.220449750578124 0.00738112626964535 4680 29.8666819296558 1.47918779557843e-179
"26" "SegID24" 0.190059304628378 0.00738112626964571 4680 25.749363672314 7.44051418703492e-137
"27" "SegID25" -0.323063313147454 0.00738112626964535 4680 -43.7688370778918 0
"28" "SegID26" -0.299560766322082 0.0073811262696455 4680 -40.5846960719274 8.17058821113913e-309
"29" "SegID27" -0.252418150349048 0.00738112626964528 4680 -34.1977824423776 5.43807510730023e-229
"30" "SegID28" -0.227321897620391 0.00738112626964543 4680 -30.7977250782503 8.11869112359274e-190
"31" "SegID29" -0.137324367504127 0.00738112626964571 4680 -18.6047985750986 1.35898241853829e-74
"32" "SegID30" -0.146882682018816 0.00738112626964568 4680 -19.899765517203 1.18632730632014e-84
"33" "SegID31" -0.299228954746413 0.00738112626964523 4680 -40.5397420143031 3.15160077521069e-308
"34" "SegID32" -0.305290052701119 0.00738112626964539 4680 -41.3609036816797 5.50586755725485e-319
"35" "SegID33" 0.0396011699296556 0.00738112626964554 4680 5.36519339772213 8.4762786101637e-08
"36" "SegID34" 0.0277196806137696 0.00738112626964563 4680 3.75548115573701 0.000175110586936435
"37" "SegID35" -0.0174610702751751 0.00738112626964564 4680 -2.36563765979489 0.0180395856400564
"38" "SegID36" -0.0194366039183255 0.0073811262696457 4680 -2.63328429947838 0.00848416293014478
"39" "SegID37" 0.268761735395269 0.00738112626964533 4680 36.412022444399 8.09083419271806e-256
"40" "SegID38" 0.275732149322143 0.00738112626964559 4680 37.3563788572584 1.51156629412862e-267
"41" "SegID39" 0.135850724236331 0.00738112626964564 4680 18.4051483843336 4.2920394488851e-73
"42" "SegID40" 0.0692110362386218 0.00738112626964526 4680 9.37675819518911 1.03244172455313e-20
"43" "SegID41" -0.132008610051611 0.00738112626964554 4680 -17.8846161451659 2.99564673121861e-69
"44" "SegID42" -0.148072305001303 0.00738112626964528 4680 -20.0609364468194 6.05870302397423e-86
"45" "SegID43" 0.471256188880122 0.00738112626964539 4680 63.8461085292831 0
