"Model","AIC"
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex",-13767.4641860547
"log10(BrainRegionVolcc) ~ SegID + Sex",-13762.2289001802
"log10(BrainRegionVolcc) ~ SegID + Sex + Age",-13761.7407758499
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + ParticipantType:Sex",-13760.4233226019
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age",-13758.3010121623
"log10(BrainRegionVolcc) ~ ParticipantType + SegID",-13751.7977699796
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex",-13750.717840273
"log10(BrainRegionVolcc) ~ SegID",-13746.9728858301
"log10(BrainRegionVolcc) ~ SegID + Sex + Age + Sex:Age",-13746.3756219453
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Age",-13744.9806553115
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      Sex:Age",-13742.794111084
"log10(BrainRegionVolcc) ~ SegID + Age",-13739.7045321286
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Age",-13738.250773976
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + ParticipantType:Age",-13737.65578837
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + Sex:Age",-13735.5577134738
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Age + Sex:Age",-13729.5090680685
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Age + ParticipantType:Age",-13724.5640187587
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + ParticipantType:Age + Sex:Age",-13722.4871956848
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + ParticipantType:SegID",-13233.1707516298
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex",-13226.139205905
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID",-13224.0035313533
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + SegID:Sex",-13222.5134549771
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + ParticipantType:SegID",-13217.5728274963
"log10(BrainRegionVolcc) ~ SegID + Sex + SegID:Sex",-13217.1827467512
"log10(BrainRegionVolcc) ~ SegID + Sex + Age + SegID:Sex",-13216.705698871
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex",-13216.4266846893
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + ParticipantType:Sex +      SegID:Sex",-13215.458573873
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      SegID:Sex",-13213.3337919096
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Age",-13210.6986581328
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + Sex:Age",-13208.4992706286
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + SegID:Sex",-13205.7445532788
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Age + ParticipantType:SegID",-13204.0306655584
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + ParticipantType:Age",-13203.3758025377
"log10(BrainRegionVolcc) ~ SegID + Sex + Age + SegID:Sex + Sex:Age",-13201.3452370585
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + Sex:Age",-13201.2693549347
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Age + SegID:Sex",-13199.9999762211
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      SegID:Sex + Sex:Age",-13197.8281040803
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Age + Sex:Age",-13195.2292073676
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex",-13192.6790845546
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + SegID:Sex + Sex:Age",-13190.5848749379
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age",-13190.3412268624
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + ParticipantType:Age +      Sex:Age",-13188.2096606903
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Age + SegID:Sex + Sex:Age",-13184.5304451368
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + Sex:Age",-13177.5115641749
"log10(BrainRegionVolcc) ~ SegID + Sex + Age + SegID:Age",-12738.2798256902
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      SegID:Age",-12734.7849747271
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + SegID:Age",-12727.1997386597
"log10(BrainRegionVolcc) ~ SegID + Sex + Age + SegID:Age + Sex:Age",-12722.9135372349
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Age + SegID:Age",-12721.4488659521
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      SegID:Age + Sex:Age",-12719.278304915
"log10(BrainRegionVolcc) ~ SegID + Age + SegID:Age",-12716.2307372469
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Age + SegID:Age",-12714.7296846774
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + ParticipantType:Age + SegID:Age",-12714.123893741
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + SegID:Age + Sex:Age",-12712.0392247622
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Age + SegID:Age + Sex:Age",-12705.9776070566
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Age + ParticipantType:Age +      SegID:Age",-12701.0471709688
